<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
МРСК СК;60;20170124;100000;22.15;22.3;22.15;22.15;9;0
МРСК СК;60;20170124;110000;22.15;22.15;22.15;22.15;5;0
МРСК СК;60;20170124;120000;22.1;22.1;21.5;21.5;10;0
МРСК СК;60;20170124;130000;21.95;22.8;21.95;22.8;2824;0
МРСК СК;60;20170124;140000;22.75;22.8;22.75;22.8;46;0
МРСК СК;60;20170124;150000;22.8;22.9;22.75;22.9;314;0
МРСК СК;60;20170124;160000;22.8;22.8;22.75;22.75;31;0
МРСК СК;60;20170124;170000;22.75;23;22.75;23;2458;0
МРСК СК;60;20170124;180000;22.95;23.85;22.95;23.8;14861;0
МРСК СК;60;20170125;090000;23.8;23.8;23.8;23.8;21;0
МРСК СК;60;20170125;100000;23.8;24.7;23.8;24.1;3183;0
МРСК СК;60;20170125;110000;23.85;24.1;23.8;24.1;218;0
МРСК СК;60;20170125;120000;23.95;24.25;23.9;24;340;0
МРСК СК;60;20170125;130000;24;24;24;24;44;0
МРСК СК;60;20170125;140000;24;24.4;24;24.1;1168;0
МРСК СК;60;20170125;150000;24.1;24.1;23.6;23.6;256;0
МРСК СК;60;20170125;160000;23.65;23.65;23.5;23.5;208;0
МРСК СК;60;20170125;170000;23.8;24.2;23.8;24.2;98;0
МРСК СК;60;20170125;180000;24.25;24.3;23.9;24.1;414;0
МРСК СК;60;20170126;100000;24;24.1;24;24.1;141;0
МРСК СК;60;20170126;110000;24.1;24.4;23.8;23.8;650;0
МРСК СК;60;20170126;120000;23.85;23.85;23.25;23.35;769;0
МРСК СК;60;20170126;130000;23.35;24;23.25;24;387;0
МРСК СК;60;20170126;140000;24;24;23.25;24;339;0
МРСК СК;60;20170126;150000;24;24.05;23.5;24.05;2441;0
МРСК СК;60;20170126;160000;23.85;24;23.5;24;5223;0
МРСК СК;60;20170126;170000;23.8;24.05;23.55;24.05;325;0
МРСК СК;60;20170126;180000;23.75;24;23.55;24;153;0
МРСК СК;60;20170127;100000;23.8;24.1;23.65;24.1;47;0
МРСК СК;60;20170127;110000;24.1;24.35;24;24.3;223;0
МРСК СК;60;20170127;120000;24.25;24.3;24;24;62;0
МРСК СК;60;20170127;130000;24.2;24.2;24;24.2;60;0
МРСК СК;60;20170127;140000;24.15;24.2;23.55;24;507;0
МРСК СК;60;20170127;150000;23.9;24.05;23.9;24.05;3;0
МРСК СК;60;20170127;160000;24;24.05;23.9;23.9;51;0
МРСК СК;60;20170127;170000;23.9;24;23.8;24;77;0
МРСК СК;60;20170127;180000;24;24;23.85;24;7;0
МРСК СК;60;20170130;100000;23.85;23.85;23.5;23.8;94;0
МРСК СК;60;20170130;110000;23.8;24;23.6;23.6;3546;0
МРСК СК;60;20170130;120000;23.65;23.85;23.6;23.7;101;0
МРСК СК;60;20170130;130000;23.7;23.7;23.55;23.7;138;0
МРСК СК;60;20170130;140000;23.6;23.75;23.55;23.6;863;0
МРСК СК;60;20170130;150000;23.65;23.7;23.65;23.7;49;0
МРСК СК;60;20170130;160000;23.75;24;23.55;23.55;4455;0
МРСК СК;60;20170130;170000;23.65;24;23.65;23.95;410;0
МРСК СК;60;20170130;180000;24;24;23.8;23.95;1011;0
МРСК СК;60;20170131;100000;23.85;23.85;23.55;23.75;540;0
МРСК СК;60;20170131;110000;23.8;23.95;23.55;23.6;2102;0
МРСК СК;60;20170131;120000;23.65;23.75;23.55;23.6;2963;0
МРСК СК;60;20170131;130000;23.6;23.7;23.55;23.65;2549;0
МРСК СК;60;20170131;140000;23.55;23.7;23.55;23.7;8919;0
МРСК СК;60;20170131;150000;23.7;23.85;23.6;23.6;431;0
МРСК СК;60;20170131;160000;23.7;23.7;23.55;23.6;183;0
МРСК СК;60;20170131;170000;23.55;23.65;23.55;23.55;173;0
МРСК СК;60;20170131;180000;23.55;23.7;23.55;23.55;1080;0
МРСК СК;60;20170201;100000;23.6;23.65;23.55;23.65;1729;0
МРСК СК;60;20170201;110000;23.6;24.7;23.55;24.7;14469;0
МРСК СК;60;20170201;120000;24.55;24.7;24.2;24.4;701;0
МРСК СК;60;20170201;130000;24.2;24.2;23.55;23.6;26734;0
МРСК СК;60;20170201;140000;23.65;23.85;23.55;23.55;35977;0
МРСК СК;60;20170201;150000;23.55;23.65;23.4;23.6;457;0
МРСК СК;60;20170201;160000;23.65;23.65;23.55;23.55;181;0
МРСК СК;60;20170201;170000;23.6;23.9;23.55;23.9;277;0
МРСК СК;60;20170201;180000;23.8;23.9;23.6;23.6;148;0
МРСК СК;60;20170202;100000;23.4;23.65;23.4;23.65;106;0
МРСК СК;60;20170202;110000;23.65;23.95;23.6;23.7;266;0
МРСК СК;60;20170202;130000;23.6;23.8;23.6;23.7;37;0
МРСК СК;60;20170202;140000;23.75;23.75;23.65;23.7;97;0
МРСК СК;60;20170202;150000;23.75;23.75;23.75;23.75;2;0
МРСК СК;60;20170202;160000;23.65;24;23.6;23.6;1140;0
МРСК СК;60;20170202;170000;23.65;23.65;23.55;23.65;2502;0
МРСК СК;60;20170202;180000;23.65;23.65;23.55;23.55;351;0
МРСК СК;60;20170203;100000;23.6;23.65;23.6;23.65;4591;0
МРСК СК;60;20170203;110000;23.55;23.85;23.55;23.85;300;0
МРСК СК;60;20170203;120000;23.85;23.85;23.55;23.55;331;0
МРСК СК;60;20170203;130000;23.7;23.7;23.6;23.6;60;0
МРСК СК;60;20170203;140000;23.65;23.85;23.65;23.85;86;0
МРСК СК;60;20170203;150000;23.85;24;23.85;23.9;869;0
МРСК СК;60;20170203;160000;23.9;23.9;23.6;23.65;975;0
МРСК СК;60;20170203;170000;23.65;23.95;23.6;23.7;509;0
МРСК СК;60;20170203;180000;23.6;23.7;23.55;23.7;288;0
МРСК СК;60;20170206;090000;23.7;23.7;23.7;23.7;30;0
МРСК СК;60;20170206;100000;23.65;23.75;23.3;23.65;171;0
МРСК СК;60;20170206;110000;23.6;23.7;23.55;23.7;1004;0
МРСК СК;60;20170206;120000;23.7;23.8;23.7;23.8;152;0
МРСК СК;60;20170206;130000;23.65;23.65;23.65;23.65;1;0
МРСК СК;60;20170206;140000;23.6;23.6;23.6;23.6;22;0
МРСК СК;60;20170206;150000;23.55;23.55;23.55;23.55;1;0
МРСК СК;60;20170206;160000;23.7;23.8;23.55;23.55;719;0
МРСК СК;60;20170206;170000;23.65;23.95;23.55;23.55;237;0
МРСК СК;60;20170206;180000;23.7;23.7;23.7;23.7;1;0
МРСК СК;60;20170207;100000;23.75;23.75;23.5;23.6;310;0
МРСК СК;60;20170207;110000;23.6;23.65;23.55;23.65;134;0
МРСК СК;60;20170207;120000;23.55;23.7;23.55;23.55;122;0
МРСК СК;60;20170207;130000;23.55;23.65;23.55;23.65;310;0
МРСК СК;60;20170207;140000;23.65;23.65;23.55;23.65;8;0
МРСК СК;60;20170207;150000;23.6;23.65;23.6;23.65;227;0
МРСК СК;60;20170207;170000;23.6;23.7;23.6;23.65;44;0
МРСК СК;60;20170207;180000;23.65;23.65;23.55;23.6;117;0
МРСК СК;60;20170208;100000;23.65;23.65;23.5;23.55;41;0
МРСК СК;60;20170208;110000;23.65;23.7;23.55;23.55;616;0
МРСК СК;60;20170208;120000;23.65;23.65;23.5;23.55;4072;0
МРСК СК;60;20170208;130000;23.55;23.6;23.55;23.6;44;0
МРСК СК;60;20170208;140000;23.65;23.65;23.55;23.55;3;0
МРСК СК;60;20170208;150000;23.65;23.65;23.55;23.55;148;0
МРСК СК;60;20170208;160000;23.55;23.6;23.55;23.55;256;0
МРСК СК;60;20170208;170000;23.55;23.6;23.55;23.6;210;0
МРСК СК;60;20170208;180000;23.55;23.55;23.55;23.55;21;0
МРСК СК;60;20170209;100000;23.5;23.55;23.35;23.35;128;0
МРСК СК;60;20170209;110000;23.55;23.55;23.5;23.55;490;0
МРСК СК;60;20170209;120000;23.55;23.6;23.55;23.55;59;0
МРСК СК;60;20170209;130000;23.6;23.65;23.55;23.65;884;0
МРСК СК;60;20170209;140000;23.65;23.8;23.6;23.6;80;0
МРСК СК;60;20170209;160000;23.7;23.7;23.6;23.6;15;0
МРСК СК;60;20170209;170000;23.55;23.55;23.55;23.55;21;0
МРСК СК;60;20170209;180000;23.55;23.7;23.55;23.7;111;0
МРСК СК;60;20170210;100000;23.35;23.65;23.3;23.65;9;0
МРСК СК;60;20170210;110000;23.55;23.55;23.55;23.55;4;0
МРСК СК;60;20170210;120000;23.4;23.55;23.4;23.4;6;0
МРСК СК;60;20170210;130000;23.4;23.5;23.4;23.5;109;0
МРСК СК;60;20170210;140000;23.55;23.55;22.7;23.55;1358;0
МРСК СК;60;20170210;150000;23.6;23.7;23.6;23.7;864;0
МРСК СК;60;20170210;160000;23.7;23.7;23.7;23.7;20;0
МРСК СК;60;20170210;170000;23.7;23.95;23.6;23.65;437;0
МРСК СК;60;20170210;180000;23.7;23.85;23.7;23.8;291;0
МРСК СК;60;20170213;100000;23.85;23.85;23.75;23.85;235;0
МРСК СК;60;20170213;110000;23.8;23.85;23.75;23.75;126;0
МРСК СК;60;20170213;120000;23.75;23.85;23.75;23.75;538;0
МРСК СК;60;20170213;130000;23.8;23.85;23.75;23.85;66;0
МРСК СК;60;20170213;140000;23.9;23.95;23.8;23.8;12;0
МРСК СК;60;20170213;150000;23.85;23.85;23.8;23.8;1503;0
МРСК СК;60;20170213;160000;23.85;24;23.75;23.8;429;0
МРСК СК;60;20170213;170000;23.75;23.75;23.75;23.75;4535;0
МРСК СК;60;20170213;180000;23.75;23.75;23.75;23.75;78;0
МРСК СК;60;20170214;100000;23.75;23.95;23.75;23.75;648;0
МРСК СК;60;20170214;110000;23.75;23.75;23.75;23.75;2946;0
МРСК СК;60;20170214;120000;23.75;23.8;23.75;23.75;39;0
МРСК СК;60;20170214;130000;23.8;23.95;23.8;23.8;572;0
МРСК СК;60;20170214;140000;23.8;23.8;23.75;23.75;25;0
МРСК СК;60;20170214;150000;23.85;23.85;23.75;23.75;320;0
МРСК СК;60;20170214;160000;23.75;23.75;23.75;23.75;50;0
МРСК СК;60;20170214;170000;23.75;23.75;23.75;23.75;530;0
МРСК СК;60;20170214;180000;23.8;23.85;23.8;23.85;40;0
МРСК СК;60;20170215;100000;23.85;24.45;23.75;23.75;14597;0
МРСК СК;60;20170215;110000;23.95;23.95;23.75;23.75;75;0
МРСК СК;60;20170215;120000;23.75;23.75;23.75;23.75;7;0
МРСК СК;60;20170215;130000;23.75;23.75;23.75;23.75;14;0
МРСК СК;60;20170215;150000;23.7;23.7;23.65;23.65;7;0
МРСК СК;60;20170215;170000;23.65;23.65;23.6;23.6;21;0
МРСК СК;60;20170215;180000;23.65;23.7;23.45;23.45;44;0
МРСК СК;60;20170216;100000;23.5;23.5;22.6;22.6;366;0
МРСК СК;60;20170216;110000;22.6;22.85;22.6;22.7;69;0
МРСК СК;60;20170216;120000;22.7;22.95;22.7;22.95;3;0
МРСК СК;60;20170216;130000;22.9;22.95;22.9;22.95;7;0
МРСК СК;60;20170216;140000;22.75;22.75;22.75;22.75;1;0
МРСК СК;60;20170216;150000;22.7;22.8;22.7;22.7;267;0
МРСК СК;60;20170216;160000;22.75;22.85;22.65;22.85;41;0
МРСК СК;60;20170216;170000;22.75;22.75;22.55;22.55;145;0
МРСК СК;60;20170216;180000;22.8;22.8;22.8;22.8;8;0
МРСК СК;60;20170217;090000;22.8;22.8;22.8;22.8;45;0
МРСК СК;60;20170217;100000;22.85;22.85;22.85;22.85;1;0
МРСК СК;60;20170217;110000;22.85;22.85;22.7;22.7;86;0
МРСК СК;60;20170217;120000;22.7;22.7;22.7;22.7;10;0
МРСК СК;60;20170217;130000;22.75;23;22.7;23;139;0
МРСК СК;60;20170217;140000;23.05;23.05;22.5;23;118;0
МРСК СК;60;20170217;150000;22.8;22.8;22.8;22.8;1;0
МРСК СК;60;20170217;160000;22.8;22.95;22.25;22.95;186;0
МРСК СК;60;20170217;170000;23;23;22.9;22.9;21;0
МРСК СК;60;20170217;180000;22.9;22.9;22.85;22.85;29;0
МРСК СК;60;20170220;100000;22.85;23.1;22.75;23.1;25;0
МРСК СК;60;20170220;110000;22.95;22.95;22.9;22.9;10;0
МРСК СК;60;20170220;120000;22.95;23;22.9;23;18286;0
МРСК СК;60;20170220;130000;22.9;22.95;22.65;22.95;210;0
МРСК СК;60;20170220;160000;22.8;22.85;22.8;22.85;2;0
МРСК СК;60;20170220;180000;22.8;22.8;21.9;22.5;180;0
МРСК СК;60;20170221;100000;22.3;22.3;21.9;22.25;70;0
МРСК СК;60;20170221;120000;22.2;22.9;22.2;22.7;168;0
МРСК СК;60;20170221;130000;22.9;22.9;22.1;22.8;52;0
МРСК СК;60;20170221;140000;22.8;22.8;22.8;22.8;5;0
МРСК СК;60;20170221;150000;22.15;22.35;21.15;21.95;323;0
МРСК СК;60;20170221;160000;22.05;22.1;22;22.1;7;0
МРСК СК;60;20170221;170000;22.1;22.1;22.1;22.1;2;0
МРСК СК;60;20170222;090000;22.2;22.2;22.2;22.2;2;0
МРСК СК;60;20170222;100000;22.2;22.2;21.95;21.95;13;0
МРСК СК;60;20170222;110000;21.9;21.9;21.3;21.8;112;0
МРСК СК;60;20170222;120000;21.7;21.9;21.4;21.9;73;0
МРСК СК;60;20170222;140000;21.7;21.7;20.2;21.4;624;0
МРСК СК;60;20170222;150000;21.35;21.35;20;20.8;2067;0
МРСК СК;60;20170222;160000;20.85;20.9;20.45;20.5;222;0
МРСК СК;60;20170222;170000;20.5;20.75;20.5;20.5;298;0
МРСК СК;60;20170222;180000;20.45;20.8;20.35;20.35;143;0
МРСК СК;60;20170224;100000;20.6;20.95;20.6;20.95;88;0
МРСК СК;60;20170224;110000;20.95;20.95;20.9;20.95;4;0
МРСК СК;60;20170224;120000;20.7;20.7;20.2;20.2;23;0
МРСК СК;60;20170224;130000;20.45;20.6;20.45;20.6;2;0
МРСК СК;60;20170224;140000;20.65;20.65;20.6;20.6;15;0
МРСК СК;60;20170224;150000;20.65;20.75;20.1;20.6;89;0
МРСК СК;60;20170224;160000;20.6;20.6;20.6;20.6;7;0
МРСК СК;60;20170224;170000;20.4;20.75;20;20;518;0
МРСК СК;60;20170224;180000;20;20;20;20;723;0
МРСК СК;60;20170227;100000;20.25;20.35;19.7;19.7;129;0
МРСК СК;60;20170227;110000;20.3;20.3;19.5;19.7;123;0
МРСК СК;60;20170227;120000;19.7;19.9;19.5;19.9;296;0
МРСК СК;60;20170227;130000;19.65;20.85;19.2;20.75;2502;0
МРСК СК;60;20170227;140000;20.8;20.8;20.75;20.8;21;0
МРСК СК;60;20170227;150000;20.6;20.75;20.5;20.75;4;0
МРСК СК;60;20170227;160000;20.7;20.9;20.7;20.9;48;0
МРСК СК;60;20170227;170000;20.75;20.75;20.25;20.25;61;0
МРСК СК;60;20170227;180000;20.25;20.3;19.5;19.5;977;0
МРСК СК;60;20170228;100000;19.5;19.5;19;19;634;0
МРСК СК;60;20170228;110000;19.25;19.6;18.75;19.6;1743;0
МРСК СК;60;20170228;120000;19.5;19.55;18.8;19.3;307;0
МРСК СК;60;20170228;130000;19.3;19.55;19.3;19.35;389;0
МРСК СК;60;20170228;140000;19.35;19.35;19.35;19.35;122;0
МРСК СК;60;20170228;150000;19.3;19.5;18.8;19.5;815;0
МРСК СК;60;20170228;160000;19.5;19.6;19.5;19.6;116;0
МРСК СК;60;20170228;170000;19.65;19.8;19.65;19.8;17;0
МРСК СК;60;20170228;180000;19.55;19.8;19.2;19.8;8;0
МРСК СК;60;20170301;100000;19.95;20.05;19.95;19.95;198;0
МРСК СК;60;20170301;110000;20;20;19.35;19.35;55;0
МРСК СК;60;20170301;120000;19.5;19.5;19.1;19.15;287;0
МРСК СК;60;20170301;130000;19.6;19.65;19.4;19.55;241;0
МРСК СК;60;20170301;140000;19.65;19.95;19.65;19.95;363;0
МРСК СК;60;20170301;160000;19.6;19.95;19.6;19.95;211;0
МРСК СК;60;20170301;170000;19.6;19.95;19.6;19.65;8;0
МРСК СК;60;20170301;180000;19.8;20.15;19.5;19.55;200;0
МРСК СК;60;20170302;100000;19.8;20;19.75;20;180;0
МРСК СК;60;20170302;120000;19.95;19.95;19.95;19.95;9;0
МРСК СК;60;20170302;140000;19.7;19.7;19.5;19.5;9;0
МРСК СК;60;20170302;150000;19.9;20;19.9;20;215;0
МРСК СК;60;20170302;160000;19.8;19.8;19.8;19.8;1;0
МРСК СК;60;20170302;170000;19.8;19.8;19.8;19.8;2;0
МРСК СК;60;20170302;180000;20;20.05;20;20.05;2;0
МРСК СК;60;20170303;100000;19.9;19.9;19.5;19.85;17;0
МРСК СК;60;20170303;130000;19.6;19.6;18.9;19.45;510;0
МРСК СК;60;20170303;140000;19.4;19.4;19.25;19.25;6;0
МРСК СК;60;20170303;150000;19.4;19.5;19.4;19.4;109;0
МРСК СК;60;20170303;170000;19.25;19.35;18.95;19.25;150;0
МРСК СК;60;20170303;180000;19.15;19.5;19.15;19.25;474;0
МРСК СК;60;20170306;100000;19.3;19.3;19.25;19.25;22;0
МРСК СК;60;20170306;110000;19.2;19.5;19.2;19.5;17;0
МРСК СК;60;20170306;140000;19.45;19.5;19.45;19.5;8;0
МРСК СК;60;20170306;150000;19.25;19.55;19.25;19.55;6;0
МРСК СК;60;20170306;170000;19.6;19.9;19.55;19.9;257;0
МРСК СК;60;20170306;180000;19.9;19.9;19.7;19.7;100;0
МРСК СК;60;20170307;110000;19.65;19.7;19.2;19.5;258;0
МРСК СК;60;20170307;120000;19.5;19.5;18.7;19;283;0
МРСК СК;60;20170307;130000;19;19;18.4;18.9;436;0
МРСК СК;60;20170307;140000;18.55;18.55;18;18.3;1010;0
МРСК СК;60;20170307;150000;18.35;18.95;18;18.3;1802;0
МРСК СК;60;20170307;160000;18.5;18.6;18.35;18.45;266;0
МРСК СК;60;20170307;170000;18.45;18.5;18.4;18.5;763;0
МРСК СК;60;20170307;180000;18.5;18.5;18.45;18.5;691;0
МРСК СК;60;20170309;100000;18.5;18.55;18.5;18.5;18;0
МРСК СК;60;20170309;120000;18.25;18.45;17.95;17.95;226;0
МРСК СК;60;20170309;130000;18;18;17.75;18;241;0
МРСК СК;60;20170309;140000;17.85;18.05;17.75;17.75;115;0
МРСК СК;60;20170309;150000;18.05;18.05;17.7;18.05;3;0
МРСК СК;60;20170309;160000;17.7;17.85;17.35;17.85;376;0
МРСК СК;60;20170309;170000;17.55;17.8;17.15;17.45;634;0
МРСК СК;60;20170309;180000;17.75;17.8;17.75;17.8;10;0
МРСК СК;60;20170310;090000;18.05;18.05;18.05;18.05;2;0
МРСК СК;60;20170310;100000;18;18;17.3;17.55;354;0
МРСК СК;60;20170310;110000;17.85;17.9;17.6;17.7;26;0
МРСК СК;60;20170310;120000;17.85;17.85;17.85;17.85;3;0
МРСК СК;60;20170310;130000;17.75;17.75;17.7;17.7;36;0
МРСК СК;60;20170310;150000;17.85;17.95;17.85;17.9;49;0
МРСК СК;60;20170310;170000;17.9;18;17.9;18;280;0
МРСК СК;60;20170310;180000;18;18;18;18;250;0
МРСК СК;60;20170313;100000;17.3;17.65;17.25;17.55;43;0
МРСК СК;60;20170313;110000;17.65;18;17.65;18;25;0
МРСК СК;60;20170313;120000;17.8;17.8;17.55;17.6;411;0
МРСК СК;60;20170313;130000;17.6;17.6;17.6;17.6;795;0
МРСК СК;60;20170313;140000;17.85;18.05;17.8;17.8;7;0
МРСК СК;60;20170313;150000;18;18;18;18;12;0
МРСК СК;60;20170313;160000;18;18.05;18;18;14;0
МРСК СК;60;20170313;170000;18;19.05;18;19;1556;0
МРСК СК;60;20170313;180000;18.8;19.05;18.5;18.75;283;0
МРСК СК;60;20170314;090000;19.2;19.2;19.2;19.2;8;0
МРСК СК;60;20170314;100000;18.95;19;18.45;18.6;294;0
МРСК СК;60;20170314;110000;18.75;19;18.75;19;134;0
МРСК СК;60;20170314;120000;19.05;19.05;19.05;19.05;40;0
МРСК СК;60;20170314;130000;18.95;19.05;18.95;19.05;14;0
МРСК СК;60;20170314;140000;18.9;18.9;18.7;18.7;52;0
МРСК СК;60;20170314;150000;18.8;18.8;18.7;18.7;82;0
МРСК СК;60;20170314;160000;18.85;18.85;18.55;18.55;288;0
МРСК СК;60;20170314;170000;18.55;18.9;18.5;18.6;586;0
МРСК СК;60;20170314;180000;18.6;18.7;18.5;18.7;13;0
МРСК СК;60;20170315;100000;18.8;18.9;18.6;18.85;111;0
МРСК СК;60;20170315;110000;18.7;18.7;18.65;18.65;183;0
МРСК СК;60;20170315;120000;18.65;18.85;18.65;18.85;77;0
МРСК СК;60;20170315;130000;18.85;18.9;18.6;18.75;269;0
МРСК СК;60;20170315;140000;18.55;18.7;18.45;18.45;49;0
МРСК СК;60;20170315;150000;18.4;18.4;18.2;18.4;210;0
МРСК СК;60;20170315;160000;18.35;18.75;18.35;18.75;124;0
МРСК СК;60;20170315;170000;18.55;18.55;18.45;18.45;57;0
МРСК СК;60;20170315;180000;18.6;18.7;18.6;18.7;5;0
МРСК СК;60;20170316;100000;18.3;18.65;18.3;18.5;99;0
МРСК СК;60;20170316;110000;18.65;19.45;18.6;19;206;0
МРСК СК;60;20170316;120000;18.9;18.9;18.9;18.9;1;0
МРСК СК;60;20170316;130000;18.9;18.9;18.9;18.9;1;0
МРСК СК;60;20170316;140000;19.05;19.05;18.9;19;239;0
МРСК СК;60;20170316;150000;19;19;19;19;30;0
МРСК СК;60;20170316;160000;18.95;19;18.95;19;70;0
МРСК СК;60;20170316;170000;19;19.25;18.9;18.9;17;0
МРСК СК;60;20170316;180000;19;19.3;19;19.3;18;0
МРСК СК;60;20170317;100000;19.4;19.45;19.05;19.05;69;0
МРСК СК;60;20170317;110000;19;19;18.55;18.9;486;0
МРСК СК;60;20170317;120000;18.95;19.25;18.7;19;887;0
МРСК СК;60;20170317;130000;18.95;19;18.8;19;353;0
МРСК СК;60;20170317;140000;18.8;19.2;18.8;19.05;170;0
МРСК СК;60;20170317;150000;19.1;19.2;18.9;19.05;400;0
МРСК СК;60;20170317;160000;19.15;19.2;18.8;19;231;0
МРСК СК;60;20170317;180000;19.1;19.1;19;19;65;0
МРСК СК;60;20170320;100000;19.05;19.05;18.6;18.75;426;0
МРСК СК;60;20170320;110000;18.75;19.15;18.65;19.15;361;0
МРСК СК;60;20170320;120000;19.15;19.3;18.95;19.1;36;0
МРСК СК;60;20170320;130000;19.15;19.35;19.1;19.35;15;0
МРСК СК;60;20170320;140000;19.35;19.5;18.85;19.15;414;0
МРСК СК;60;20170320;160000;19.15;19.35;19.15;19.35;197;0
МРСК СК;60;20170320;180000;19.35;19.35;19.3;19.35;114;0
МРСК СК;60;20170321;100000;19.3;19.3;19.3;19.3;274;0
МРСК СК;60;20170321;110000;19.05;19.25;19.05;19.25;2;0
МРСК СК;60;20170321;120000;19.15;19.15;19;19;240;0
МРСК СК;60;20170321;130000;19.05;19.2;19.05;19.2;14;0
МРСК СК;60;20170321;140000;19.05;19.3;18.85;19.2;421;0
МРСК СК;60;20170321;150000;19.1;19.1;18.9;18.9;15;0
МРСК СК;60;20170321;160000;19.15;19.2;19.15;19.2;8;0
МРСК СК;60;20170321;170000;19.2;19.2;18.7;18.9;165;0
МРСК СК;60;20170321;180000;18.85;18.95;18.55;18.9;128;0
МРСК СК;60;20170322;100000;18.55;19;18.55;18.75;394;0
МРСК СК;60;20170322;110000;18.8;18.85;18.8;18.8;12;0
МРСК СК;60;20170322;120000;18.8;18.8;18.8;18.8;1;0
МРСК СК;60;20170322;170000;18.65;18.9;18.55;18.9;79;0
МРСК СК;60;20170322;180000;18.95;18.95;18.4;18.85;178;0
МРСК СК;60;20170323;100000;19;19;18.85;18.95;133;0
МРСК СК;60;20170323;110000;18.75;19.15;18.75;19.15;83;0
МРСК СК;60;20170323;120000;19;19;18.95;19;52;0
МРСК СК;60;20170323;130000;19;19;19;19;451;0
МРСК СК;60;20170323;140000;18.9;18.9;18.9;18.9;1;0
МРСК СК;60;20170323;150000;18.9;18.9;18.9;18.9;10;0
МРСК СК;60;20170323;170000;18.75;18.75;18.75;18.75;2;0
МРСК СК;60;20170323;180000;18.75;19;18.75;19;96;0
МРСК СК;60;20170324;090000;18.5;18.5;18.5;18.5;1;0
МРСК СК;60;20170324;100000;18.55;18.95;18.55;18.95;9;0
МРСК СК;60;20170324;110000;18.95;19;18.8;18.8;32;0
МРСК СК;60;20170324;120000;18.8;18.8;18.8;18.8;12;0
МРСК СК;60;20170324;130000;18.8;18.8;18.8;18.8;12;0
МРСК СК;60;20170324;140000;18.85;18.9;18.85;18.9;41;0
МРСК СК;60;20170324;150000;18.85;18.85;18.8;18.8;42;0
МРСК СК;60;20170324;160000;18.8;18.85;18.8;18.85;35;0
МРСК СК;60;20170324;170000;18.8;18.8;18.8;18.8;11;0
МРСК СК;60;20170324;180000;18.8;18.85;18.8;18.85;15;0
МРСК СК;60;20170327;100000;18.95;18.95;18.2;18.3;380;0
МРСК СК;60;20170327;110000;18.35;18.5;18.2;18.5;623;0
МРСК СК;60;20170327;120000;18.5;18.5;18.45;18.45;110;0
МРСК СК;60;20170327;130000;18.45;18.5;18.25;18.4;133;0
МРСК СК;60;20170327;140000;18.4;18.4;18.25;18.3;8;0
МРСК СК;60;20170327;150000;18.35;18.35;18.35;18.35;1;0
МРСК СК;60;20170327;160000;18.35;18.45;18.25;18.35;126;0
МРСК СК;60;20170327;180000;18.35;18.4;18.25;18.4;38;0
МРСК СК;60;20170328;100000;18.3;18.5;18.05;18.05;53;0
МРСК СК;60;20170328;110000;18.15;18.2;18.1;18.2;8;0
МРСК СК;60;20170328;120000;18.2;18.2;18;18.2;247;0
МРСК СК;60;20170328;130000;18.2;18.2;18;18.15;125;0
МРСК СК;60;20170328;140000;18.15;18.2;18.15;18.2;124;0
МРСК СК;60;20170328;150000;18.15;18.15;18;18.1;44;0
МРСК СК;60;20170328;160000;18.2;18.35;18.2;18.35;61;0
МРСК СК;60;20170328;180000;18.35;18.35;18.25;18.35;12;0
МРСК СК;60;20170329;100000;18.35;18.4;18.35;18.4;20;0
МРСК СК;60;20170329;110000;18.4;18.55;18.4;18.55;13;0
МРСК СК;60;20170329;120000;18.45;18.45;18.4;18.4;2;0
МРСК СК;60;20170329;130000;18.45;18.45;18.35;18.35;3;0
МРСК СК;60;20170329;140000;18.3;18.3;17.8;17.9;537;0
МРСК СК;60;20170329;150000;17.95;18.05;17.95;18;4;0
МРСК СК;60;20170329;160000;18.1;18.15;18.1;18.15;14;0
МРСК СК;60;20170329;170000;18.15;18.2;18;18.2;32;0
МРСК СК;60;20170329;180000;18.2;18.2;18.2;18.2;7;0
МРСК СК;60;20170330;100000;18.05;18.4;18.05;18.25;179;0
МРСК СК;60;20170330;110000;18.25;18.25;17.95;18.1;203;0
МРСК СК;60;20170330;120000;18.15;18.15;18.15;18.15;1;0
МРСК СК;60;20170330;130000;18.15;18.2;18.15;18.2;50;0
МРСК СК;60;20170330;140000;18.25;18.3;18.25;18.3;34;0
МРСК СК;60;20170330;170000;18.3;18.7;18.3;18.65;305;0
МРСК СК;60;20170330;180000;18.65;18.7;18.65;18.7;22;0
МРСК СК;60;20170331;100000;18.55;18.6;18.45;18.6;6;0
МРСК СК;60;20170331;110000;18.65;18.75;18.65;18.65;8;0
МРСК СК;60;20170331;120000;18.7;18.7;18.7;18.7;1;0
МРСК СК;60;20170331;140000;18.75;18.8;18.75;18.8;7;0
МРСК СК;60;20170331;150000;18.85;18.95;18.8;18.8;39;0
МРСК СК;60;20170331;170000;18.75;18.75;18.6;18.6;59;0
МРСК СК;60;20170331;180000;18.7;18.85;18.65;18.85;106;0
МРСК СК;60;20170403;100000;18.85;18.85;18.7;18.7;34;0
