<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
КрасОкт-ао;60;20170125;110000;299;299;299;299;1;0
КрасОкт-ао;60;20170127;160000;287;287;286;286;3;0
КрасОкт-ао;60;20170127;170000;293;300;293;300;10;0
КрасОкт-ао;60;20170130;110000;288;288;288;288;1;0
КрасОкт-ао;60;20170131;090000;294;294;294;294;1;0
КрасОкт-ао;60;20170131;100000;291;291;291;291;1;0
КрасОкт-ао;60;20170131;180000;290;290;289;289;2;0
КрасОкт-ао;60;20170201;100000;288;288;288;288;1;0
КрасОкт-ао;60;20170201;120000;284;284;284;284;1;0
КрасОкт-ао;60;20170201;130000;288;288;288;288;1;0
КрасОкт-ао;60;20170201;140000;285;285;278;278;10;0
КрасОкт-ао;60;20170201;180000;287;287;287;287;1;0
КрасОкт-ао;60;20170203;100000;291;392;291;371;411;0
КрасОкт-ао;60;20170203;110000;369;369;331;347;195;0
КрасОкт-ао;60;20170203;120000;346;401;346;401;754;0
КрасОкт-ао;60;20170203;130000;401;401;401;401;536;0
КрасОкт-ао;60;20170203;140000;401;401;390;401;85;0
КрасОкт-ао;60;20170203;150000;401;401;401;401;28;0
КрасОкт-ао;60;20170203;180000;401;401;401;401;30;0
КрасОкт-ао;60;20170206;090000;441;441;441;441;18;0
КрасОкт-ао;60;20170206;100000;560;560;326;419;1757;0
КрасОкт-ао;60;20170206;110000;395;464;386;428;154;0
КрасОкт-ао;60;20170206;120000;437;445;420;426;69;0
КрасОкт-ао;60;20170206;130000;438;496;438;495;122;0
КрасОкт-ао;60;20170206;140000;485;540;476;505;359;0
КрасОкт-ао;60;20170206;150000;505;540;483;489;134;0
КрасОкт-ао;60;20170206;160000;487;490;477;477;44;0
КрасОкт-ао;60;20170206;170000;480;491;477;484;31;0
КрасОкт-ао;60;20170206;180000;484;484;463;479;36;0
КрасОкт-ао;60;20170207;100000;494;520;455;463;122;0
КрасОкт-ао;60;20170207;110000;465;465;463;463;46;0
КрасОкт-ао;60;20170207;120000;463;478;450;450;73;0
КрасОкт-ао;60;20170207;130000;452;465;450;465;23;0
КрасОкт-ао;60;20170207;140000;468;480;464;480;47;0
КрасОкт-ао;60;20170207;150000;479;500;479;500;124;0
КрасОкт-ао;60;20170207;160000;499;499;498;499;4;0
КрасОкт-ао;60;20170207;170000;499;499;466;466;10;0
КрасОкт-ао;60;20170207;180000;470;470;470;470;1;0
КрасОкт-ао;60;20170208;100000;463;488;450;466;33;0
КрасОкт-ао;60;20170208;110000;465;470;437;437;51;0
КрасОкт-ао;60;20170208;120000;453;453;451;451;5;0
КрасОкт-ао;60;20170208;130000;459;459;459;459;1;0
КрасОкт-ао;60;20170208;140000;445;445;442;442;6;0
КрасОкт-ао;60;20170208;150000;440;440;432;432;4;0
КрасОкт-ао;60;20170208;160000;431;473;430;473;12;0
КрасОкт-ао;60;20170208;170000;470;485;470;485;55;0
КрасОкт-ао;60;20170208;180000;485;550;485;549;471;0
КрасОкт-ао;60;20170209;100000;550;629;527;625;442;0
КрасОкт-ао;60;20170209;110000;607;657;576;634;273;0
КрасОкт-ао;60;20170209;120000;630;638;596;637;247;0
КрасОкт-ао;60;20170209;130000;621;736;620;711;511;0
КрасОкт-ао;60;20170209;140000;722;735;701;723;91;0
КрасОкт-ао;60;20170209;150000;723;768;722;768;654;0
КрасОкт-ао;60;20170209;160000;768;768;768;768;3;0
КрасОкт-ао;60;20170209;170000;768;768;768;768;1;0
КрасОкт-ао;60;20170209;180000;768;768;768;768;3;0
КрасОкт-ао;60;20170210;090000;790;790;790;790;5;0
КрасОкт-ао;60;20170210;100000;798;899;701;863;1205;0
КрасОкт-ао;60;20170210;110000;870;998;836;870;681;0
КрасОкт-ао;60;20170210;120000;870;870;757;774;191;0
КрасОкт-ао;60;20170210;130000;770;818;749;780;136;0
КрасОкт-ао;60;20170210;140000;752;867;752;850;65;0
КрасОкт-ао;60;20170210;150000;850;900;812;899;114;0
КрасОкт-ао;60;20170210;160000;905;905;750;767;241;0
КрасОкт-ао;60;20170210;170000;760;811;754;794;162;0
КрасОкт-ао;60;20170210;180000;785;789;750;764;156;0
КрасОкт-ао;60;20170213;100000;747;801;676;709;153;0
КрасОкт-ао;60;20170213;110000;709;823;690;823;118;0
КрасОкт-ао;60;20170213;120000;819;896;805;868;397;0
КрасОкт-ао;60;20170213;130000;856;938;816;876;286;0
