<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
АСКО ао;60;20170711;120000;2.7;2.7;2.625;2.625;3355;0
АСКО ао;60;20170711;130000;2.625;2.625;2.625;2.625;663;0
АСКО ао;60;20170711;140000;2.625;2.625;2.625;2.625;976;0
АСКО ао;60;20170711;150000;2.7;2.7;2.7;2.7;24;0
АСКО ао;60;20170712;100000;2.9;2.9;2.9;2.9;1;0
АСКО ао;60;20170712;110000;2.9;2.9;2.8;2.8;2;0
АСКО ао;60;20170712;120000;2.7;2.7;2.7;2.7;1;0
АСКО ао;60;20170712;140000;2.7;2.9;2.63;2.63;470;0
АСКО ао;60;20170712;150000;3.2;3.2;3.2;3.2;2;0
АСКО ао;60;20170712;160000;3.2;3.5;3.2;3.5;11;0
АСКО ао;60;20170712;170000;3.5;3.65;3.5;3.65;2;0
АСКО ао;60;20170713;090000;3.65;3.65;3.65;3.65;1;0
АСКО ао;60;20170713;100000;5.037;5.037;5.037;5.037;1;0
АСКО ао;60;20170713;110000;5.037;5.037;5;5;24;0
АСКО ао;60;20170713;120000;4.9;5;4.9;5;2;0
АСКО ао;60;20170713;130000;4.15;4.15;4.037;4.037;3;0
АСКО ао;60;20170713;140000;4.77;4.77;4.77;4.77;1;0
АСКО ао;60;20170713;150000;4.999;4.999;4.999;4.999;1;0
АСКО ао;60;20170713;160000;4.999;5;4.999;5;8;0
АСКО ао;60;20170714;100000;4.3;6.993;4.011;6;91;0
АСКО ао;60;20170714;110000;6.2;6.8995;6.2;6.8;45;0
АСКО ао;60;20170714;120000;6.8;6.8;6.0245;6.0245;16;0
АСКО ао;60;20170714;130000;6.0245;6.79;6.001;6.79;11;0
АСКО ао;60;20170714;140000;6.1;6.993;3.1645;6.65;869;0
АСКО ао;60;20170714;150000;6.65;6.99;5.9005;5.91;10;0
АСКО ао;60;20170714;160000;5.91;5.91;5.91;5.91;2;0
АСКО ао;60;20170714;170000;6;6.5;5.99;6.5;11;0
АСКО ао;60;20170714;180000;6.2;6.2;5.9215;6.1285;7;0
АСКО ао;60;20170717;100000;7.56;7.56;4.414;5.999;303;0
АСКО ао;60;20170717;110000;5.999;6.1995;5.984;5.984;13;0
АСКО ао;60;20170717;120000;5.9695;6.249;5;5;44;0
АСКО ао;60;20170717;130000;5.447;6.006;5.4;5.4;38;0
АСКО ао;60;20170717;140000;5.878;6.182;5.878;6.182;29;0
АСКО ао;60;20170717;150000;6.09;6.185;6.09;6.185;5;0
АСКО ао;60;20170717;170000;5.5;5.5;4.81;4.81;96;0
АСКО ао;60;20170717;180000;4.811;5.278;4.8;4.968;47;0
АСКО ао;60;20170718;100000;5.265;5.265;4.565;4.7495;10;0
АСКО ао;60;20170718;110000;4.56;4.6;3.246;3.246;468;0
АСКО ао;60;20170718;120000;3.4885;6.7165;3.063;6.15;7797;0
АСКО ао;60;20170718;130000;6.15;6.7165;5.752;5.9985;4289;0
АСКО ао;60;20170718;140000;6;6.7165;5.57;5.7;3875;0
АСКО ао;60;20170718;150000;5.87;6.7165;5.5;6.7165;7369;0
АСКО ао;60;20170718;160000;6.7165;6.7165;6.716;6.7165;488;0
АСКО ао;60;20170718;170000;6.7165;6.7165;6.7165;6.7165;303;0
АСКО ао;60;20170718;180000;6.7165;6.7165;6.7165;6.7165;50;0
АСКО ао;60;20170719;090000;7.01;7.01;7.01;7.01;3;0
АСКО ао;60;20170719;100000;7.2495;8.7625;6.6495;6.76;224;0
АСКО ао;60;20170719;110000;6.9995;7.7;6.9995;7.7;32;0
АСКО ао;60;20170719;120000;7.7;7.7;7.009;7.7;19;0
АСКО ао;60;20170719;130000;7.2055;7.299;6.76;6.9005;44;0
АСКО ао;60;20170719;140000;7.48;7.48;6.915;6.95;15;0
АСКО ао;60;20170719;150000;6.916;7.382;6.915;7.001;9;0
АСКО ао;60;20170719;160000;7.355;7.588;7.35;7.489;25;0
АСКО ао;60;20170719;170000;7.35;7.6965;7.35;7.6965;3;0
АСКО ао;60;20170719;180000;7.6965;8.4995;7.5;7.598;85;0
АСКО ао;60;20170720;100000;7.7;8.26;7.0005;8;161;0
АСКО ао;60;20170720;110000;8;10;8;8;794;0
АСКО ао;60;20170720;120000;7.9;8.099;7.774;7.8205;13;0
АСКО ао;60;20170720;130000;7.8205;10.6;7.2;10.05;2568;0
АСКО ао;60;20170720;140000;9.81;9.9995;9.497;9.497;149;0
АСКО ао;60;20170720;150000;9.5;9.933;9.3;9.55;120;0
АСКО ао;60;20170720;160000;9.6;10.5495;9.302;10.3;84;0
АСКО ао;60;20170720;170000;9.304;10.6315;9;10.6315;714;0
АСКО ао;60;20170720;180000;10.6315;10.6315;10.6315;10.6315;86;0
АСКО ао;60;20170721;090000;11.6945;11.6945;11.6945;11.6945;10;0
АСКО ао;60;20170721;100000;11.2;13;9.5;9.8755;932;0
АСКО ао;60;20170721;110000;9.8755;9.95;9.6;9.62;52;0
АСКО ао;60;20170721;120000;9.621;10.85;9.25;10.2;164;0
АСКО ао;60;20170721;130000;10.25;10.6;10;10;30;0
АСКО ао;60;20170721;140000;10.0005;10.569;10.0005;10.0045;46;0
АСКО ао;60;20170721;150000;10;10;9.9085;10;61;0
АСКО ао;60;20170721;160000;9.6355;9.89;8.7005;9.5555;112;0
АСКО ао;60;20170721;170000;9.5555;9.846;8.852;9;68;0
АСКО ао;60;20170721;180000;9.2;11.99;9.2;10.99;653;0
АСКО ао;60;20170724;100000;10.689;10.6895;8.2745;8.601;807;0
АСКО ао;60;20170724;110000;8.61;9.199;8.4355;8.8755;390;0
АСКО ао;60;20170724;120000;8.871;8.871;8.2;8.369;506;0
АСКО ао;60;20170724;130000;8.3685;8.5;8.2005;8.3505;90;0
АСКО ао;60;20170724;140000;8.3505;9.1;8.3505;9.0995;102;0
АСКО ао;60;20170724;150000;9.098;9.499;8.001;8.5;877;0
АСКО ао;60;20170724;160000;8.5;9.2;8.221;8.3;545;0
АСКО ао;60;20170724;170000;8.35;8.65;8.3005;8.5;143;0
АСКО ао;60;20170724;180000;8.5;8.569;8;8.244;325;0
АСКО ао;60;20170725;100000;8.001;8.3875;7.8;7.8;200;0
АСКО ао;60;20170725;110000;7.7015;7.9795;7.7;7.75;87;0
АСКО ао;60;20170725;120000;7.7075;7.749;7.065;7.3005;983;0
АСКО ао;60;20170725;130000;7.216;7.392;7.004;7.392;57;0
АСКО ао;60;20170725;140000;7.3945;7.5005;7.3945;7.5;89;0
АСКО ао;60;20170725;150000;7.251;7.3;7.0085;7.0085;37;0
АСКО ао;60;20170725;160000;7.008;7.1765;7.0075;7.1765;24;0
АСКО ао;60;20170725;170000;7.199;7.293;7.1015;7.1745;36;0
АСКО ао;60;20170725;180000;7.1845;7.2;7.1;7.1;17;0
АСКО ао;60;20170726;090000;7.196;7.196;7.196;7.196;5;0
АСКО ао;60;20170726;100000;7.2445;7.449;6.8;7.245;139;0
АСКО ао;60;20170726;110000;7.245;7.39;7.245;7.39;19;0
АСКО ао;60;20170726;120000;7.39;8;7.3;8;54;0
АСКО ао;60;20170726;130000;8.085;8.614;7.815;8.5615;190;0
АСКО ао;60;20170726;140000;8.499;8.6135;7.5;7.5;325;0
АСКО ао;60;20170726;150000;7.5;7.5;6.3;6.6745;1002;0
АСКО ао;60;20170726;160000;6.308;8.182;5.5;7.975;5447;0
АСКО ао;60;20170726;170000;7.738;8.5;7.434;8.001;1260;0
АСКО ао;60;20170726;180000;8.005;8.49;7.9995;8.2;346;0
АСКО ао;60;20170727;100000;8.3;8.399;7.3005;7.8485;44;0
АСКО ао;60;20170727;110000;7.5455;10;7.5455;9;2492;0
АСКО ао;60;20170727;120000;8.7805;8.9995;8.7;8.8495;255;0
АСКО ао;60;20170727;130000;8.8495;9.189;8.7005;9.189;8;0
АСКО ао;60;20170727;140000;9.186;9.186;9;9;23;0
АСКО ао;60;20170727;150000;9;9.17;8.7005;9.17;21;0
АСКО ао;60;20170727;160000;8.7175;8.718;8.7005;8.7005;4;0
АСКО ао;60;20170727;170000;8.7005;8.899;8.5055;8.648;30;0
АСКО ао;60;20170727;180000;8.599;8.6495;8.4005;8.4005;184;0
АСКО ао;60;20170728;100000;8.3995;8.3995;8.3995;8.3995;1;0
АСКО ао;60;20170728;110000;8;8.869;7.701;8.869;57;0
АСКО ао;60;20170728;120000;8.4195;8.999;8.2905;8.98;34;0
АСКО ао;60;20170728;130000;8.51;8.9245;7.9;7.9;25;0
АСКО ао;60;20170728;140000;8.2505;9.1595;8.2505;8.8845;955;0
АСКО ао;60;20170728;150000;8.5805;8.6;8.5;8.5;63;0
АСКО ао;60;20170728;160000;8.5;8.7;8;8.4;733;0
АСКО ао;60;20170728;170000;8.2125;8.3975;8.101;8.299;21;0
АСКО ао;60;20170728;180000;8.35;8.35;8.1;8.1;28;0
АСКО ао;60;20170731;090000;8.08;8.08;8.08;8.08;30;0
АСКО ао;60;20170731;100000;8.08;9;7.8005;8.637;538;0
АСКО ао;60;20170731;110000;8.248;8.3315;7.9995;8;84;0
АСКО ао;60;20170731;120000;8.0895;8.1115;7.9;8.05;20;0
АСКО ао;60;20170731;130000;7.9;7.9;7.9;7.9;1;0
АСКО ао;60;20170731;140000;8.051;8.47;8.051;8.47;44;0
АСКО ао;60;20170731;150000;8.446;8.45;7.9;8.133;229;0
АСКО ао;60;20170731;160000;8.097;8.164;7.9205;8.1295;25;0
АСКО ао;60;20170731;170000;8.01;8.0395;7.9185;8.02;17;0
АСКО ао;60;20170731;180000;7.999;8.188;7.94;8.187;39;0
АСКО ао;60;20170801;100000;8.2795;8.29;7.9135;8;46;0
АСКО ао;60;20170801;110000;7.9225;8.0995;7.92;8.0995;59;0
АСКО ао;60;20170801;120000;7.9165;8.1295;7.9165;8.1295;5;0
АСКО ао;60;20170801;130000;8.124;8.1245;7.9735;7.9735;4;0
АСКО ао;60;20170801;140000;7.9235;8.07;7.336;7.69;308;0
АСКО ао;60;20170801;150000;7.69;7.8595;7.69;7.7;10;0
АСКО ао;60;20170801;160000;7.699;7.7945;7.6;7.79;6;0
АСКО ао;60;20170801;170000;7.79;7.88;7.6425;7.8525;17;0
АСКО ао;60;20170801;180000;7.801;7.853;7.8;7.85;17;0
АСКО ао;60;20170802;100000;7.853;8.18;7.722;8.1;42;0
АСКО ао;60;20170802;110000;8.1;8.42;7.65;7.9295;245;0
АСКО ао;60;20170802;120000;7.8005;7.8005;7.8;7.8;11;0
АСКО ао;60;20170802;140000;7.7205;7.888;7.707;7.888;12;0
АСКО ао;60;20170802;150000;7.8885;7.939;7.45;7.55;176;0
АСКО ао;60;20170802;160000;7.5505;7.7785;7.55;7.6965;24;0
АСКО ао;60;20170802;180000;7.7;7.7095;7.55;7.5715;26;0
АСКО ао;60;20170803;100000;7.465;7.8;7.43;7.799;19;0
АСКО ао;60;20170803;110000;7.793;7.793;7.505;7.505;5;0
АСКО ао;60;20170803;120000;7.5105;7.6415;7.453;7.592;190;0
АСКО ао;60;20170803;130000;7.5505;7.5505;7.333;7.333;71;0
АСКО ао;60;20170803;140000;7.333;7.3995;7.333;7.333;21;0
АСКО ао;60;20170803;150000;7.333;7.333;7.333;7.333;3;0
АСКО ао;60;20170803;160000;7.35;7.4;7.3305;7.3995;17;0
АСКО ао;60;20170803;170000;7.3315;7.475;7.3315;7.475;11;0
АСКО ао;60;20170803;180000;7.4755;7.4755;7.33;7.33;2;0
АСКО ао;60;20170804;100000;7.4;7.4;6.95;6.96;183;0
АСКО ао;60;20170804;110000;7.148;7.2995;7.148;7.27;36;0
АСКО ао;60;20170804;120000;7.2;7.239;6.975;7;93;0
АСКО ао;60;20170804;130000;7;7;6.9005;6.9005;8;0
АСКО ао;60;20170804;140000;6.9995;7.05;6.9025;6.9025;25;0
АСКО ао;60;20170804;150000;7.05;7.05;6.9;6.9995;44;0
АСКО ао;60;20170804;160000;6.8005;6.9;6.8005;6.85;6;0
АСКО ао;60;20170804;170000;6.85;6.9;6.85;6.9;8;0
АСКО ао;60;20170804;180000;6.8505;6.8505;6.82;6.8215;5;0
АСКО ао;60;20170807;100000;6.6225;6.6225;5.8;6;675;0
АСКО ао;60;20170807;110000;6;6.398;5.93;6.1405;257;0
АСКО ао;60;20170807;120000;6.124;6.277;6.09;6.277;99;0
АСКО ао;60;20170807;130000;6.22;6.44;6.15;6.15;45;0
АСКО ао;60;20170807;140000;6.161;6.35;6.13;6.25;37;0
АСКО ао;60;20170807;150000;6.156;6.2995;6.1205;6.2995;38;0
АСКО ао;60;20170807;160000;6.25;6.32;6.053;6.27;35;0
АСКО ао;60;20170807;170000;6.27;6.275;6.24;6.24;8;0
АСКО ао;60;20170807;180000;6.114;6.114;6;6;254;0
АСКО ао;60;20170808;100000;6;6;5.8;5.99;20;0
АСКО ао;60;20170808;110000;5.82;6.13;5.801;5.8985;52;0
АСКО ао;60;20170808;120000;5.8015;5.8995;5.8;5.85;9;0
АСКО ао;60;20170808;130000;5.85;5.864;5.6325;5.6325;25;0
АСКО ао;60;20170808;140000;5.7;6.35;5.64;6.001;246;0
АСКО ао;60;20170808;150000;6.001;6.1835;6;6.001;13;0
АСКО ао;60;20170808;160000;6.002;6.002;5.9995;5.9995;13;0
АСКО ао;60;20170808;170000;5.842;6.076;5.842;6.076;4;0
АСКО ао;60;20170808;180000;6.076;6.0985;6.076;6.0975;9;0
АСКО ао;60;20170809;100000;5.8005;6.018;5.5105;5.7;181;0
АСКО ао;60;20170809;110000;5.6995;5.6995;5.35;5.57;197;0
АСКО ао;60;20170809;120000;5.57;5.8125;5.3605;5.5675;129;0
АСКО ао;60;20170809;130000;5.5075;5.5075;5.1;5.2205;226;0
АСКО ао;60;20170809;140000;5.2895;5.435;5.102;5.15;108;0
АСКО ао;60;20170809;150000;5.18;5.28;5.11;5.11;66;0
АСКО ао;60;20170809;160000;5.1985;5.37;5.1205;5.37;28;0
АСКО ао;60;20170809;170000;5.35;5.37;5.35;5.37;3;0
АСКО ао;60;20170809;180000;5.35;5.35;5.12;5.1255;48;0
АСКО ао;60;20170810;100000;5.11;5.44;5;5.2015;67;0
АСКО ао;60;20170810;110000;5.2105;5.2105;5.2105;5.2105;2;0
АСКО ао;60;20170810;120000;5.2105;5.2105;5.2105;5.2105;2;0
АСКО ао;60;20170810;130000;5.25;5.3185;5.236;5.24;9;0
АСКО ао;60;20170810;140000;5.137;5.209;5.137;5.1845;18;0
АСКО ао;60;20170810;150000;5.1445;5.5435;5.144;5.5435;159;0
АСКО ао;60;20170810;160000;5.5395;6.13;5.36;5.7;262;0
АСКО ао;60;20170810;170000;5.7;5.934;5.5005;5.8;78;0
АСКО ао;60;20170810;180000;5.7005;5.7005;5.6;5.6;36;0
АСКО ао;60;20170811;100000;5.7755;6.1;5.7;6.1;70;0
АСКО ао;60;20170811;110000;6.1;6.588;6.005;6.005;152;0
АСКО ао;60;20170811;120000;6.1445;6.36;6.0055;6.36;59;0
АСКО ао;60;20170811;130000;6.1705;6.35;6.126;6.126;9;0
АСКО ао;60;20170811;140000;6.1265;6.23;6.1255;6.22;24;0
АСКО ао;60;20170811;150000;6.2005;6.3;6.2005;6.267;13;0
АСКО ао;60;20170811;160000;6.1275;6.2695;6.1255;6.1255;19;0
АСКО ао;60;20170811;170000;6.125;6.1255;6.125;6.1255;22;0
АСКО ао;60;20170811;180000;6.102;6.102;6.087;6.087;10;0
АСКО ао;60;20170814;100000;6.3795;6.9;5.7525;6.547;522;0
АСКО ао;60;20170814;110000;6.4695;6.53;6.4695;6.53;20;0
АСКО ао;60;20170814;120000;6.5;6.76;6.4;6.7395;87;0
АСКО ао;60;20170814;130000;6.5455;6.5455;6.4305;6.4305;2;0
АСКО ао;60;20170814;140000;6.5415;6.67;6.5415;6.6495;5;0
АСКО ао;60;20170814;150000;6.606;6.7495;6.31;6.6685;97;0
АСКО ао;60;20170814;160000;6.6;6.623;6.5705;6.623;7;0
АСКО ао;60;20170814;170000;6.5995;6.5995;6.5695;6.5695;13;0
АСКО ао;60;20170814;180000;6.5695;6.5695;6.5;6.5;6;0
АСКО ао;60;20170815;100000;6.2505;6.9775;6.2505;6.511;37;0
АСКО ао;60;20170815;110000;6.5565;6.5565;6.5565;6.5565;1;0
АСКО ао;60;20170815;120000;6.555;6.555;6.43;6.43;10;0
АСКО ао;60;20170815;130000;6.425;6.425;6.35;6.35;36;0
АСКО ао;60;20170815;140000;6.4185;6.42;6.2615;6.4035;60;0
АСКО ао;60;20170815;150000;6.4025;6.4025;6.2205;6.24;45;0
АСКО ао;60;20170815;160000;6.396;6.5295;6.3;6.4;56;0
АСКО ао;60;20170815;170000;6.4;6.401;6.4;6.4;9;0
АСКО ао;60;20170815;180000;6.4;6.57;6.4;6.57;21;0
АСКО ао;60;20170816;100000;6.75;6.76;6.7225;6.755;25;0
АСКО ао;60;20170816;110000;6.4;6.4;6.397;6.397;5;0
АСКО ао;60;20170816;120000;6.6995;6.6995;6.378;6.378;13;0
АСКО ао;60;20170816;130000;6.3005;6.5895;6.3005;6.4995;3;0
АСКО ао;60;20170816;140000;6.302;6.302;6;6;196;0
АСКО ао;60;20170816;150000;6.12;6.17;5.955;6.099;80;0
АСКО ао;60;20170816;160000;6.098;6.099;6.0115;6.099;22;0
АСКО ао;60;20170816;170000;6.0995;6.0995;6.095;6.095;10;0
АСКО ао;60;20170816;180000;6.1495;6.1495;6.0105;6.12;29;0
АСКО ао;60;20170817;100000;6;6;5.55;5.8;220;0
АСКО ао;60;20170817;110000;5.7505;5.899;5.5805;5.6;176;0
АСКО ао;60;20170817;120000;5.6665;6.47;5.58;6.031;1194;0
АСКО ао;60;20170817;130000;6.1;6.32;5.8605;5.9995;472;0
АСКО ао;60;20170817;140000;5.86;5.987;5.6505;5.85;255;0
АСКО ао;60;20170817;150000;5.8165;5.8165;5.6505;5.7655;192;0
АСКО ао;60;20170817;160000;5.6705;5.7825;5.6;5.7;57;0
АСКО ао;60;20170817;170000;5.72;5.72;5.656;5.656;14;0
АСКО ао;60;20170817;180000;5.66;5.66;5.56;5.56;95;0
АСКО ао;60;20170818;090000;5.3005;5.3005;5.3005;5.3005;7;0
АСКО ао;60;20170818;100000;5.3;5.5;5.1;5.4;476;0
АСКО ао;60;20170818;110000;5.3905;5.4395;5.2665;5.36;130;0
АСКО ао;60;20170818;120000;5.351;5.427;5.3015;5.3735;87;0
АСКО ао;60;20170818;130000;5.31;5.444;5.3055;5.366;38;0
АСКО ао;60;20170818;140000;5.36;5.36;5.3155;5.3215;19;0
АСКО ао;60;20170818;150000;5.322;5.68;5.322;5.352;230;0
АСКО ао;60;20170818;160000;5.37;5.484;5.36;5.4;41;0
АСКО ао;60;20170818;170000;5.3995;5.498;5.38;5.498;32;0
АСКО ао;60;20170818;180000;5.54;5.54;5.313;5.399;89;0
АСКО ао;60;20170821;100000;5.312;5.4995;4.8;5.2555;596;0
АСКО ао;60;20170821;110000;5.4495;5.57;5.256;5.57;160;0
АСКО ао;60;20170821;120000;5.569;6.235;5.3555;6.1;433;0
АСКО ао;60;20170821;130000;6.1795;6.1795;5.674;5.674;92;0
АСКО ао;60;20170821;140000;5.6745;6.3775;5.6745;6.29;457;0
АСКО ао;60;20170821;150000;6.29;6.29;6.1005;6.1005;25;0
АСКО ао;60;20170821;160000;6.0505;6.2795;6;6.09;52;0
АСКО ао;60;20170821;170000;6.0005;6.1965;6.0005;6.1965;17;0
АСКО ао;60;20170821;180000;6.196;6.196;6.196;6.196;35;0
АСКО ао;60;20170822;090000;6.28;6.28;6.28;6.28;3;0
АСКО ао;60;20170822;100000;6.28;6.95;6.28;6.5085;423;0
АСКО ао;60;20170822;110000;6.509;6.85;6.403;6.85;141;0
АСКО ао;60;20170822;120000;6.8;6.8495;6.54;6.8;50;0
АСКО ао;60;20170822;130000;6.8295;7.0695;6.7305;7;404;0
АСКО ао;60;20170822;140000;7;7;6.851;6.8655;38;0
АСКО ао;60;20170822;150000;6.8655;7;6.841;6.8525;147;0
АСКО ао;60;20170822;160000;6.9995;7.3;6.856;6.9;148;0
АСКО ао;60;20170822;170000;6.9055;7.145;6.9;7.08;17;0
АСКО ао;60;20170822;180000;6.9225;7.092;6.83;6.931;68;0
АСКО ао;60;20170823;090000;7.297;7.297;7.297;7.297;4;0
АСКО ао;60;20170823;100000;7.2975;7.3;6.2505;6.621;1129;0
АСКО ао;60;20170823;110000;6.5105;6.6;6.27;6.4195;169;0
АСКО ао;60;20170823;120000;6.302;6.566;6.284;6.3675;16;0
АСКО ао;60;20170823;130000;6.4605;6.4605;6.24;6.24;36;0
АСКО ао;60;20170823;140000;6.339;6.469;6.221;6.469;36;0
АСКО ао;60;20170823;150000;6.38;6.381;6.3795;6.3795;11;0
АСКО ао;60;20170823;160000;6.4655;6.4655;6.237;6.238;28;0
АСКО ао;60;20170823;170000;6.3;6.399;6.236;6.2655;48;0
АСКО ао;60;20170823;180000;6.255;6.2995;6.1;6.255;157;0
АСКО ао;60;20170824;100000;6.25;6.6;6.1655;6.3575;190;0
АСКО ао;60;20170824;110000;6.2725;6.3375;6.15;6.1705;44;0
АСКО ао;60;20170824;120000;6.268;6.448;6.182;6.448;41;0
АСКО ао;60;20170824;130000;6.4715;7.1;6.2415;6.5385;625;0
АСКО ао;60;20170824;140000;6.3005;6.6395;6.3005;6.477;45;0
АСКО ао;60;20170824;150000;6.3615;6.4285;6.22;6.3;98;0
АСКО ао;60;20170824;160000;6.3;6.329;6.1;6.239;270;0
АСКО ао;60;20170824;170000;6.329;6.3295;6.162;6.171;37;0
АСКО ао;60;20170824;180000;6.172;6.1995;6.1705;6.1705;48;0
АСКО ао;60;20170825;100000;6.296;6.296;6;6.245;201;0
АСКО ао;60;20170825;110000;6.1005;8.0005;5.823;7.31;3187;0
АСКО ао;60;20170825;120000;7.31;7.877;7.2505;7.877;1000;0
АСКО ао;60;20170825;130000;7.555;7.86;7.5025;7.5055;44;0
АСКО ао;60;20170825;140000;7.506;7.7725;7.5;7.7295;52;0
АСКО ао;60;20170825;150000;7.7095;8.397;7.3;8.198;340;0
АСКО ао;60;20170825;160000;7.9015;8.198;7.7075;8.15;128;0
АСКО ао;60;20170825;170000;8.13;8.13;7.821;8.0525;22;0
АСКО ао;60;20170825;180000;7.8255;8.199;7.8255;8.199;41;0
АСКО ао;60;20170828;100000;8.199;8.99;8.1;8.5;314;0
АСКО ао;60;20170828;110000;8.45;9.4;8.2;8.799;504;0
АСКО ао;60;20170828;120000;8.8;9.4995;8.6;9.399;273;0
АСКО ао;60;20170828;130000;9.2005;9.4;9.051;9.053;161;0
АСКО ао;60;20170828;140000;9.06;9.199;8.8405;9.199;163;0
АСКО ао;60;20170828;150000;9;9.1995;8.4;8.9995;508;0
АСКО ао;60;20170828;160000;8.8105;8.8995;8.5805;8.5805;75;0
АСКО ао;60;20170828;170000;8.5005;9.199;8.5005;8.711;200;0
АСКО ао;60;20170828;180000;8.9;9.1495;8.653;9.14;43;0
АСКО ао;60;20170829;100000;9.19;9.779;8.002;8.896;2094;0
АСКО ао;60;20170829;110000;8.61;9;7.95;8.94;2994;0
АСКО ао;60;20170829;120000;8.93;9.4;8.7055;9.1;286;0
АСКО ао;60;20170829;130000;9.282;9.35;9.016;9.2995;75;0
АСКО ао;60;20170829;140000;9.1505;9.2675;9;9.2395;35;0
АСКО ао;60;20170829;150000;9.1;9.1995;9.001;9.0995;17;0
АСКО ао;60;20170829;160000;9.1;9.2485;9.0255;9.0265;32;0
АСКО ао;60;20170829;170000;9.0315;9.1865;8.8;9.177;129;0
АСКО ао;60;20170829;180000;9;9.5005;9;9.2895;242;0
АСКО ао;60;20170830;090000;9.98;9.98;9.98;9.98;6;0
АСКО ао;60;20170830;100000;10;10.2;7.7295;8.99;2944;0
АСКО ао;60;20170830;110000;8.8055;8.999;8.8055;8.889;9;0
АСКО ао;60;20170830;120000;8.889;9.9985;8.889;9.993;564;0
АСКО ао;60;20170830;130000;9.965;9.9885;9.7005;9.9875;30;0
АСКО ао;60;20170830;140000;9.702;9.9;9.684;9.684;10;0
АСКО ао;60;20170830;150000;9.6995;9.7;8.53;9.6995;832;0
АСКО ао;60;20170830;160000;9.3;9.6845;9.3;9.5;3;0
АСКО ао;60;20170830;170000;9.5005;9.5005;9.3035;9.3035;14;0
АСКО ао;60;20170830;180000;9.304;9.304;9.304;9.304;1;0
АСКО ао;60;20170831;090000;9.6995;9.6995;9.6995;9.6995;3;0
АСКО ао;60;20170831;100000;9.7;10.199;8.265;8.6995;2438;0
АСКО ао;60;20170831;110000;8.537;8.537;8.175;8.3;561;0
АСКО ао;60;20170831;120000;8.202;8.383;8.1;8.383;63;0
АСКО ао;60;20170831;130000;8.2175;8.3965;8.2175;8.392;78;0
АСКО ао;60;20170831;140000;8.388;8.3885;8.124;8.124;83;0
АСКО ао;60;20170831;150000;8.1495;8.499;8.12;8.4;69;0
АСКО ао;60;20170831;160000;8.3005;8.449;8.21;8.22;18;0
АСКО ао;60;20170831;170000;8.3745;8.4845;8.263;8.41;49;0
АСКО ао;60;20170831;180000;8.3115;9.3;8.1;9.18;1413;0
АСКО ао;60;20170901;100000;9.376;9.376;8.61;8.7;152;0
АСКО ао;60;20170901;110000;8.8865;8.8865;8.501;8.501;187;0
АСКО ао;60;20170901;120000;8.5215;8.82;8.5;8.6;134;0
АСКО ао;60;20170901;130000;8.789;8.789;8.5005;8.74;18;0
АСКО ао;60;20170901;140000;8.58;9.1995;8.313;8.313;305;0
АСКО ао;60;20170901;150000;8.5895;9;8.5205;9;86;0
АСКО ао;60;20170901;160000;8.7275;8.7275;8.7275;8.7275;1;0
АСКО ао;60;20170901;170000;8.9;9.078;8.725;9.078;28;0
АСКО ао;60;20170901;180000;9.05;9.078;8.7985;8.7985;129;0
АСКО ао;60;20170904;100000;8.8005;9;8.5495;8.5495;73;0
АСКО ао;60;20170904;110000;8.51;8.51;8.45;8.45;30;0
АСКО ао;60;20170904;120000;8.767;9.1;8.7;8.7;56;0
АСКО ао;60;20170904;140000;8.7;8.7;8.68;8.68;10;0
АСКО ао;60;20170904;150000;8.567;8.75;8.518;8.7355;41;0
АСКО ао;60;20170904;160000;8.596;8.5985;8.52;8.52;11;0
АСКО ао;60;20170904;170000;8.569;8.7145;8.52;8.7145;26;0
АСКО ао;60;20170904;180000;8.601;8.601;8.519;8.519;6;0
АСКО ао;60;20170905;100000;8.5005;8.511;8.103;8.103;68;0
АСКО ао;60;20170905;110000;8.108;8.5905;8.09;8.5905;149;0
АСКО ао;60;20170905;120000;8.301;8.38;8.301;8.38;4;0
АСКО ао;60;20170905;130000;8.321;8.321;8.304;8.304;12;0
АСКО ао;60;20170905;140000;8.291;8.291;7.8;7.8;810;0
АСКО ао;60;20170905;150000;7.8;8.5;6.993;6.993;4722;0
АСКО ао;60;20170905;160000;6.993;9.45;6.7;8.8885;6097;0
АСКО ао;60;20170905;170000;8.8125;10.75;8.8;10.7;1988;0
АСКО ао;60;20170905;180000;10.7005;11;9.5995;10.5;2656;0
АСКО ао;60;20170906;090000;10.49;10.49;10.49;10.49;5;0
АСКО ао;60;20170906;100000;10.4495;10.45;9.339;9.7625;2400;0
АСКО ао;60;20170906;110000;9.7905;9.9935;9.48;9.6;232;0
АСКО ао;60;20170906;120000;9.8575;9.8575;9.8575;9.8575;1;0
АСКО ао;60;20170906;130000;9.5805;9.5805;9.49;9.49;18;0
АСКО ао;60;20170906;140000;9.5;9.708;9.3;9.3005;48;0
АСКО ао;60;20170906;150000;9.577;9.669;9.5765;9.669;29;0
АСКО ао;60;20170906;160000;9.699;9.7;9.431;9.699;7;0
АСКО ао;60;20170906;170000;9.4405;10.499;9.001;9.6905;1102;0
АСКО ао;60;20170906;180000;9.6025;9.78;9.3;9.3;73;0
