<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ДЭК ао;60;20170124;140000;0.699;0.7;0.699;0.7;101;0
ДЭК ао;60;20170124;160000;0.691;0.691;0.68;0.68;72;0
ДЭК ао;60;20170124;180000;0.694;0.698;0.694;0.698;37;0
ДЭК ао;60;20170125;100000;0.696;0.699;0.675;0.699;182;0
ДЭК ао;60;20170125;170000;0.695;0.695;0.695;0.695;10;0
ДЭК ао;60;20170125;180000;0.69;0.69;0.69;0.69;1;0
ДЭК ао;60;20170126;120000;0.695;0.695;0.695;0.695;65;0
ДЭК ао;60;20170126;140000;0.694;0.695;0.694;0.695;186;0
ДЭК ао;60;20170126;150000;0.687;0.687;0.687;0.687;2;0
ДЭК ао;60;20170126;170000;0.689;0.694;0.684;0.684;28;0
ДЭК ао;60;20170127;100000;0.684;0.684;0.681;0.681;28;0
ДЭК ао;60;20170127;110000;0.688;0.69;0.688;0.69;28;0
ДЭК ао;60;20170127;120000;0.682;0.689;0.68;0.689;41;0
ДЭК ао;60;20170127;130000;0.688;0.689;0.68;0.68;165;0
ДЭК ао;60;20170127;160000;0.682;0.69;0.68;0.69;144;0
ДЭК ао;60;20170127;170000;0.69;0.695;0.69;0.695;89;0
ДЭК ао;60;20170127;180000;0.695;0.695;0.695;0.695;2;0
ДЭК ао;60;20170130;100000;0.697;0.707;0.697;0.7;413;0
ДЭК ао;60;20170130;120000;0.7;0.72;0.7;0.719;880;0
ДЭК ао;60;20170130;130000;0.717;0.718;0.717;0.718;5;0
ДЭК ао;60;20170130;140000;0.719;0.72;0.719;0.72;130;0
ДЭК ао;60;20170130;150000;0.72;0.74;0.72;0.74;102;0
ДЭК ао;60;20170130;160000;0.723;0.73;0.723;0.73;3;0
ДЭК ао;60;20170130;180000;0.721;0.721;0.721;0.721;1;0
ДЭК ао;60;20170131;110000;0.726;0.727;0.726;0.727;2;0
ДЭК ао;60;20170131;120000;0.724;0.725;0.716;0.716;103;0
ДЭК ао;60;20170131;130000;0.72;0.72;0.72;0.72;2;0
ДЭК ао;60;20170131;160000;0.722;0.723;0.722;0.723;101;0
ДЭК ао;60;20170131;170000;0.724;0.724;0.724;0.724;85;0
ДЭК ао;60;20170131;180000;0.72;0.724;0.717;0.717;12;0
ДЭК ао;60;20170201;100000;0.701;0.722;0.7;0.722;46;0
ДЭК ао;60;20170201;110000;0.71;0.71;0.71;0.71;1;0
ДЭК ао;60;20170201;120000;0.705;0.705;0.705;0.705;7;0
ДЭК ао;60;20170201;140000;0.704;0.704;0.703;0.704;31;0
ДЭК ао;60;20170201;150000;0.704;0.704;0.704;0.704;3;0
ДЭК ао;60;20170201;160000;0.702;0.714;0.702;0.714;16;0
ДЭК ао;60;20170201;170000;0.712;0.712;0.712;0.712;2;0
ДЭК ао;60;20170201;180000;0.703;0.703;0.703;0.703;13;0
ДЭК ао;60;20170202;100000;0.709;0.716;0.709;0.716;13;0
ДЭК ао;60;20170202;110000;0.712;0.712;0.712;0.712;1;0
ДЭК ао;60;20170202;140000;0.713;0.715;0.713;0.715;100;0
ДЭК ао;60;20170202;150000;0.715;0.715;0.715;0.715;25;0
ДЭК ао;60;20170202;170000;0.71;0.71;0.71;0.71;15;0
ДЭК ао;60;20170202;180000;0.71;0.71;0.71;0.71;14;0
ДЭК ао;60;20170203;100000;0.694;0.694;0.694;0.694;10;0
ДЭК ао;60;20170203;110000;0.706;0.706;0.706;0.706;3;0
ДЭК ао;60;20170203;130000;0.7;0.7;0.7;0.7;70;0
ДЭК ао;60;20170203;150000;0.705;0.705;0.705;0.705;1;0
ДЭК ао;60;20170206;130000;0.71;0.712;0.71;0.712;119;0
ДЭК ао;60;20170206;140000;0.712;0.712;0.691;0.693;562;0
ДЭК ао;60;20170206;160000;0.697;0.697;0.697;0.697;2;0
ДЭК ао;60;20170207;100000;0.711;0.747;0.691;0.691;18;0
ДЭК ао;60;20170207;110000;0.694;0.694;0.694;0.694;1;0
ДЭК ао;60;20170207;120000;0.693;0.693;0.693;0.693;100;0
ДЭК ао;60;20170207;160000;0.698;0.7;0.698;0.7;77;0
ДЭК ао;60;20170207;170000;0.7;0.7;0.7;0.7;20;0
ДЭК ао;60;20170208;100000;0.7;0.701;0.7;0.7;10;0
ДЭК ао;60;20170208;110000;0.701;0.701;0.7;0.7;10;0
ДЭК ао;60;20170208;120000;0.699;0.71;0.699;0.71;250;0
ДЭК ао;60;20170208;130000;0.7;0.7;0.699;0.699;49;0
ДЭК ао;60;20170208;140000;0.696;0.704;0.696;0.704;2;0
ДЭК ао;60;20170208;150000;0.707;0.707;0.704;0.704;17;0
ДЭК ао;60;20170208;170000;0.698;0.698;0.695;0.695;27;0
ДЭК ао;60;20170208;180000;0.707;0.71;0.707;0.71;61;0
ДЭК ао;60;20170209;100000;0.696;0.711;0.683;0.711;1220;0
ДЭК ао;60;20170209;120000;0.688;0.689;0.688;0.689;29;0
ДЭК ао;60;20170209;140000;0.689;0.689;0.689;0.689;10;0
ДЭК ао;60;20170210;100000;0.701;0.703;0.692;0.699;106;0
ДЭК ао;60;20170210;120000;0.699;0.699;0.697;0.698;37;0
ДЭК ао;60;20170210;130000;0.698;0.7;0.698;0.7;70;0
ДЭК ао;60;20170210;140000;0.7;0.7;0.7;0.7;84;0
ДЭК ао;60;20170210;150000;0.696;0.697;0.695;0.695;20;0
ДЭК ао;60;20170210;170000;0.699;0.7;0.693;0.693;9;0
ДЭК ао;60;20170213;100000;0.696;0.701;0.696;0.701;6;0
ДЭК ао;60;20170213;120000;0.697;0.697;0.697;0.697;12;0
ДЭК ао;60;20170213;130000;0.699;0.699;0.699;0.699;1;0
ДЭК ао;60;20170213;160000;0.699;0.699;0.699;0.699;1;0
ДЭК ао;60;20170213;170000;0.697;0.697;0.695;0.695;3;0
ДЭК ао;60;20170213;180000;0.695;0.695;0.695;0.695;1;0
ДЭК ао;60;20170214;140000;0.69;0.69;0.683;0.684;205;0
ДЭК ао;60;20170215;110000;0.687;0.699;0.68;0.699;200;0
ДЭК ао;60;20170215;120000;0.695;0.699;0.695;0.699;40;0
ДЭК ао;60;20170215;150000;0.686;0.686;0.686;0.686;1;0
ДЭК ао;60;20170215;160000;0.692;0.692;0.692;0.692;1;0
ДЭК ао;60;20170215;180000;0.692;0.697;0.692;0.697;40;0
ДЭК ао;60;20170216;100000;0.703;0.703;0.703;0.703;1;0
ДЭК ао;60;20170216;110000;0.695;0.695;0.669;0.68;132;0
ДЭК ао;60;20170216;120000;0.68;0.699;0.68;0.699;31;0
ДЭК ао;60;20170216;160000;0.684;0.684;0.683;0.683;11;0
ДЭК ао;60;20170217;100000;0.68;0.697;0.678;0.697;29;0
ДЭК ао;60;20170217;110000;0.68;0.68;0.68;0.68;10;0
ДЭК ао;60;20170217;120000;0.689;0.689;0.689;0.689;1;0
ДЭК ао;60;20170217;140000;0.68;0.68;0.671;0.671;200;0
ДЭК ао;60;20170217;160000;0.675;0.675;0.672;0.672;14;0
ДЭК ао;60;20170220;110000;0.671;0.671;0.671;0.671;1;0
ДЭК ао;60;20170220;130000;0.673;0.673;0.673;0.673;1;0
ДЭК ао;60;20170220;140000;0.673;0.673;0.668;0.668;11;0
ДЭК ао;60;20170220;170000;0.67;0.67;0.666;0.666;127;0
ДЭК ао;60;20170220;180000;0.667;0.667;0.666;0.666;4;0
ДЭК ао;60;20170221;100000;0.664;0.664;0.663;0.663;7;0
ДЭК ао;60;20170221;110000;0.679;0.679;0.677;0.677;2;0
ДЭК ао;60;20170221;140000;0.667;0.672;0.667;0.672;37;0
ДЭК ао;60;20170221;170000;0.672;0.672;0.663;0.663;141;0
ДЭК ао;60;20170222;120000;0.681;0.681;0.679;0.679;31;0
ДЭК ао;60;20170222;140000;0.671;0.671;0.671;0.671;1;0
ДЭК ао;60;20170222;160000;0.671;0.671;0.671;0.671;5;0
ДЭК ао;60;20170222;170000;0.67;0.67;0.661;0.661;93;0
ДЭК ао;60;20170222;180000;0.662;0.662;0.661;0.662;80;0
ДЭК ао;60;20170224;110000;0.662;0.662;0.66;0.66;6;0
ДЭК ао;60;20170224;130000;0.68;0.687;0.68;0.687;10;0
ДЭК ао;60;20170227;160000;0.676;0.676;0.676;0.676;1;0
ДЭК ао;60;20170228;100000;0.661;0.662;0.651;0.656;181;0
ДЭК ао;60;20170228;110000;0.655;0.655;0.625;0.635;131;0
ДЭК ао;60;20170228;120000;0.64;0.64;0.629;0.629;42;0
ДЭК ао;60;20170228;130000;0.644;0.656;0.634;0.634;33;0
ДЭК ао;60;20170228;140000;0.635;0.635;0.635;0.635;1;0
ДЭК ао;60;20170228;150000;0.632;0.632;0.628;0.628;204;0
ДЭК ао;60;20170228;160000;0.631;0.631;0.631;0.631;20;0
ДЭК ао;60;20170228;170000;0.633;0.633;0.632;0.632;109;0
ДЭК ао;60;20170228;180000;0.639;0.647;0.625;0.625;132;0
ДЭК ао;60;20170301;100000;0.629;0.642;0.629;0.64;12;0
ДЭК ао;60;20170301;110000;0.64;0.65;0.636;0.65;881;0
ДЭК ао;60;20170301;120000;0.645;0.645;0.645;0.645;1;0
ДЭК ао;60;20170301;130000;0.645;0.645;0.644;0.644;130;0
ДЭК ао;60;20170301;140000;0.64;0.64;0.64;0.64;2;0
ДЭК ао;60;20170301;150000;0.64;0.641;0.64;0.641;20;0
ДЭК ао;60;20170301;160000;0.638;0.638;0.638;0.638;1;0
ДЭК ао;60;20170301;170000;0.639;0.639;0.62;0.633;500;0
ДЭК ао;60;20170301;180000;0.63;0.635;0.625;0.634;93;0
ДЭК ао;60;20170302;100000;0.634;0.637;0.634;0.637;31;0
ДЭК ао;60;20170302;110000;0.638;0.638;0.638;0.638;100;0
ДЭК ао;60;20170302;120000;0.64;0.64;0.638;0.64;4;0
ДЭК ао;60;20170302;130000;0.638;0.64;0.63;0.64;132;0
ДЭК ао;60;20170302;140000;0.632;0.632;0.626;0.63;270;0
ДЭК ао;60;20170302;150000;0.63;0.63;0.63;0.63;5;0
ДЭК ао;60;20170302;160000;0.63;0.63;0.627;0.627;21;0
ДЭК ао;60;20170302;170000;0.63;0.63;0.63;0.63;26;0
ДЭК ао;60;20170302;180000;0.63;0.643;0.63;0.643;55;0
ДЭК ао;60;20170303;090000;0.647;0.647;0.647;0.647;1;0
ДЭК ао;60;20170303;100000;0.627;0.627;0.62;0.62;112;0
ДЭК ао;60;20170303;110000;0.638;0.639;0.638;0.639;5;0
ДЭК ао;60;20170306;100000;0.654;0.654;0.63;0.63;29;0
ДЭК ао;60;20170306;110000;0.636;0.638;0.636;0.638;10;0
ДЭК ао;60;20170306;170000;0.64;0.64;0.64;0.64;1;0
ДЭК ао;60;20170306;180000;0.638;0.638;0.638;0.638;1;0
ДЭК ао;60;20170307;100000;0.639;0.639;0.639;0.639;1;0
ДЭК ао;60;20170307;110000;0.632;0.656;0.632;0.65;61;0
ДЭК ао;60;20170307;120000;0.648;0.65;0.635;0.64;416;0
ДЭК ао;60;20170307;130000;0.635;0.635;0.627;0.628;181;0
ДЭК ао;60;20170307;140000;0.63;0.63;0.627;0.63;33;0
ДЭК ао;60;20170307;150000;0.628;0.628;0.626;0.626;103;0
ДЭК ао;60;20170309;110000;0.638;0.638;0.616;0.616;101;0
ДЭК ао;60;20170309;120000;0.62;0.62;0.62;0.62;8;0
ДЭК ао;60;20170309;130000;0.617;0.617;0.613;0.613;53;0
ДЭК ао;60;20170309;140000;0.614;0.614;0.613;0.613;100;0
ДЭК ао;60;20170309;160000;0.615;0.615;0.57;0.582;696;0
ДЭК ао;60;20170309;170000;0.605;0.605;0.555;0.555;963;0
ДЭК ао;60;20170309;180000;0.578;0.578;0.555;0.555;223;0
ДЭК ао;60;20170310;100000;0.589;0.589;0.57;0.581;43;0
ДЭК ао;60;20170310;110000;0.58;0.585;0.58;0.585;47;0
ДЭК ао;60;20170310;120000;0.587;0.587;0.572;0.572;209;0
ДЭК ао;60;20170310;130000;0.575;0.575;0.575;0.575;18;0
ДЭК ао;60;20170310;140000;0.576;0.576;0.576;0.576;20;0
ДЭК ао;60;20170310;150000;0.577;0.577;0.577;0.577;30;0
ДЭК ао;60;20170310;160000;0.577;0.577;0.577;0.577;21;0
ДЭК ао;60;20170310;180000;0.592;0.592;0.589;0.589;2;0
ДЭК ао;60;20170313;100000;0.566;0.566;0.566;0.566;14;0
ДЭК ао;60;20170313;110000;0.57;0.57;0.563;0.563;266;0
ДЭК ао;60;20170313;120000;0.571;0.575;0.571;0.575;37;0
ДЭК ао;60;20170313;130000;0.575;0.58;0.575;0.58;21;0
ДЭК ао;60;20170313;140000;0.585;0.585;0.585;0.585;50;0
ДЭК ао;60;20170313;150000;0.585;0.585;0.574;0.574;81;0
ДЭК ао;60;20170313;160000;0.574;0.574;0.574;0.574;1;0
ДЭК ао;60;20170313;170000;0.579;0.58;0.579;0.58;10;0
ДЭК ао;60;20170313;180000;0.58;0.58;0.579;0.579;3;0
ДЭК ао;60;20170314;100000;0.561;0.596;0.561;0.586;68;0
ДЭК ао;60;20170314;110000;0.586;0.586;0.574;0.574;71;0
ДЭК ао;60;20170314;120000;0.583;0.589;0.583;0.589;73;0
ДЭК ао;60;20170314;130000;0.589;0.589;0.589;0.589;10;0
ДЭК ао;60;20170314;140000;0.576;0.576;0.575;0.575;49;0
ДЭК ао;60;20170314;150000;0.575;0.575;0.575;0.575;35;0
ДЭК ао;60;20170314;160000;0.574;0.574;0.562;0.562;300;0
ДЭК ао;60;20170315;100000;0.572;0.575;0.561;0.575;81;0
ДЭК ао;60;20170315;110000;0.57;0.57;0.569;0.569;2;0
ДЭК ао;60;20170315;120000;0.57;0.57;0.57;0.57;1;0
ДЭК ао;60;20170315;130000;0.571;0.571;0.566;0.566;56;0
ДЭК ао;60;20170315;140000;0.575;0.575;0.575;0.575;1;0
ДЭК ао;60;20170315;150000;0.565;0.565;0.565;0.565;15;0
ДЭК ао;60;20170315;160000;0.566;0.566;0.55;0.55;183;0
ДЭК ао;60;20170315;170000;0.552;0.552;0.552;0.552;2;0
ДЭК ао;60;20170315;180000;0.558;0.558;0.558;0.558;7;0
ДЭК ао;60;20170316;100000;0.573;0.577;0.569;0.577;59;0
ДЭК ао;60;20170316;110000;0.573;0.573;0.573;0.573;5;0
ДЭК ао;60;20170316;120000;0.574;0.577;0.574;0.577;67;0
ДЭК ао;60;20170316;130000;0.577;0.577;0.577;0.577;5;0
ДЭК ао;60;20170316;140000;0.577;0.582;0.577;0.58;7;0
ДЭК ао;60;20170317;110000;0.576;0.576;0.563;0.57;27;0
ДЭК ао;60;20170317;120000;0.57;0.57;0.57;0.57;90;0
ДЭК ао;60;20170317;130000;0.572;0.572;0.572;0.572;90;0
ДЭК ао;60;20170317;140000;0.578;0.578;0.578;0.578;4;0
ДЭК ао;60;20170317;170000;0.572;0.579;0.569;0.569;146;0
ДЭК ао;60;20170317;180000;0.57;0.579;0.57;0.579;24;0
ДЭК ао;60;20170320;100000;0.578;0.578;0.578;0.578;2;0
ДЭК ао;60;20170320;110000;0.578;0.578;0.57;0.57;51;0
ДЭК ао;60;20170320;120000;0.578;0.578;0.566;0.566;289;0
ДЭК ао;60;20170320;140000;0.57;0.57;0.57;0.57;100;0
ДЭК ао;60;20170320;170000;0.57;0.571;0.565;0.571;38;0
ДЭК ао;60;20170321;100000;0.562;0.563;0.551;0.561;165;0
ДЭК ао;60;20170321;110000;0.563;0.563;0.563;0.563;111;0
ДЭК ао;60;20170321;120000;0.567;0.567;0.564;0.564;4;0
ДЭК ао;60;20170321;130000;0.567;0.567;0.567;0.567;2;0
ДЭК ао;60;20170321;140000;0.568;0.568;0.568;0.568;10;0
ДЭК ао;60;20170321;160000;0.57;0.571;0.57;0.571;25;0
ДЭК ао;60;20170321;170000;0.568;0.568;0.568;0.568;33;0
ДЭК ао;60;20170321;180000;0.571;0.571;0.565;0.565;25;0
ДЭК ао;60;20170322;100000;0.567;0.567;0.567;0.567;11;0
ДЭК ао;60;20170322;110000;0.566;0.566;0.565;0.565;10;0
ДЭК ао;60;20170322;140000;0.57;0.572;0.57;0.572;80;0
ДЭК ао;60;20170322;160000;0.569;0.57;0.569;0.57;184;0
ДЭК ао;60;20170322;170000;0.57;0.57;0.565;0.565;24;0
ДЭК ао;60;20170323;110000;0.565;0.565;0.562;0.563;6;0
ДЭК ао;60;20170323;120000;0.568;0.569;0.568;0.569;2;0
ДЭК ао;60;20170323;130000;0.568;0.568;0.568;0.568;1;0
ДЭК ао;60;20170323;140000;0.568;0.568;0.568;0.568;2;0
ДЭК ао;60;20170323;180000;0.566;0.566;0.565;0.565;30;0
ДЭК ао;60;20170324;110000;0.57;0.579;0.57;0.57;241;0
ДЭК ао;60;20170324;120000;0.57;0.57;0.57;0.57;50;0
ДЭК ао;60;20170324;140000;0.574;0.574;0.57;0.573;14;0
ДЭК ао;60;20170324;150000;0.574;0.574;0.574;0.574;2;0
ДЭК ао;60;20170324;180000;0.574;0.574;0.57;0.57;17;0
ДЭК ао;60;20170327;100000;0.563;0.563;0.56;0.56;45;0
ДЭК ао;60;20170327;110000;0.56;0.57;0.559;0.569;141;0
ДЭК ао;60;20170327;130000;0.561;0.561;0.559;0.559;14;0
ДЭК ао;60;20170327;150000;0.558;0.558;0.556;0.556;18;0
ДЭК ао;60;20170327;170000;0.556;0.556;0.555;0.555;14;0
ДЭК ао;60;20170327;180000;0.559;0.559;0.559;0.559;1;0
ДЭК ао;60;20170328;110000;0.559;0.559;0.559;0.559;2;0
ДЭК ао;60;20170328;120000;0.558;0.558;0.556;0.556;64;0
ДЭК ао;60;20170328;140000;0.555;0.555;0.555;0.555;12;0
ДЭК ао;60;20170328;150000;0.555;0.555;0.555;0.555;3;0
ДЭК ао;60;20170328;160000;0.554;0.554;0.54;0.54;742;0
ДЭК ао;60;20170328;170000;0.54;0.54;0.522;0.522;331;0
ДЭК ао;60;20170328;180000;0.53;0.539;0.53;0.539;8;0
ДЭК ао;60;20170329;090000;0.565;0.565;0.565;0.565;12;0
ДЭК ао;60;20170329;100000;0.535;0.535;0.534;0.535;14;0
ДЭК ао;60;20170329;110000;0.535;0.535;0.535;0.535;5;0
ДЭК ао;60;20170329;120000;0.534;0.535;0.534;0.535;38;0
ДЭК ао;60;20170329;130000;0.534;0.534;0.531;0.531;5;0
ДЭК ао;60;20170329;140000;0.531;0.531;0.527;0.527;192;0
