<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Кубанэнр;60;20170124;100000;97.2;97.6;97.2;97.3;2100;0
Кубанэнр;60;20170124;110000;97.5;97.5;97.5;97.5;7;0
Кубанэнр;60;20170124;120000;97.5;97.6;97.1;97.6;144;0
Кубанэнр;60;20170124;130000;97.6;97.6;97.6;97.6;10;0
Кубанэнр;60;20170124;150000;97.1;97.6;97.1;97.6;22;0
Кубанэнр;60;20170124;180000;97.1;97.4;90.1;93;2318;0
Кубанэнр;60;20170125;090000;94;94;94;94;166;0
Кубанэнр;60;20170125;100000;94;94.3;89;92.5;3354;0
Кубанэнр;60;20170125;120000;91.5;92;91.1;92;11;0
Кубанэнр;60;20170125;140000;92;92;92;92;1;0
Кубанэнр;60;20170125;150000;92;92.5;91.9;91.9;35;0
Кубанэнр;60;20170125;160000;92.1;92.1;91.9;91.9;36;0
Кубанэнр;60;20170125;170000;92;92.9;91;92.9;182;0
Кубанэнр;60;20170125;180000;92.1;92.2;90.6;92;86;0
Кубанэнр;60;20170126;100000;92;92.5;92;92.5;46;0
Кубанэнр;60;20170126;110000;92.9;93.5;92.5;93.5;85;0
Кубанэнр;60;20170126;120000;93.8;93.8;93.5;93.5;13;0
Кубанэнр;60;20170126;130000;93.8;95;93.8;95;88;0
Кубанэнр;60;20170126;140000;94.2;94.9;94.2;94.9;11;0
Кубанэнр;60;20170126;150000;94.1;94.1;92.2;93;165;0
Кубанэнр;60;20170126;160000;94;94.2;94;94.2;11;0
Кубанэнр;60;20170126;170000;92.1;92.5;90.1;92.5;109;0
Кубанэнр;60;20170126;180000;91.9;91.9;91.9;91.9;44;0
Кубанэнр;60;20170127;100000;91;92;90.5;90.5;346;0
Кубанэнр;60;20170127;110000;91.4;92;91.1;91.1;16;0
Кубанэнр;60;20170127;120000;91.9;91.9;91.5;91.9;10;0
Кубанэнр;60;20170127;130000;91.8;91.9;91.5;91.9;14;0
Кубанэнр;60;20170127;150000;92.4;94.4;92.4;94.4;71;0
Кубанэнр;60;20170127;160000;94.6;94.6;93.1;94;41;0
Кубанэнр;60;20170127;170000;94;94;93.5;93.5;77;0
Кубанэнр;60;20170127;180000;93.5;94.3;93.5;94.3;23;0
Кубанэнр;60;20170130;090000;93.5;93.5;93.5;93.5;2;0
Кубанэнр;60;20170130;100000;94;95.4;92.8;95;3831;0
Кубанэнр;60;20170130;110000;94.9;94.9;93.4;94.4;92;0
Кубанэнр;60;20170130;130000;94;94;94;94;22;0
Кубанэнр;60;20170130;140000;93.9;94;93.9;94;109;0
Кубанэнр;60;20170130;160000;93.7;94;93.7;93.7;32;0
Кубанэнр;60;20170130;170000;93.7;94;92.1;93.9;215;0
Кубанэнр;60;20170130;180000;92.7;93.8;92;92;820;0
Кубанэнр;60;20170131;100000;92.7;94.2;92.7;94.2;810;0
Кубанэнр;60;20170131;110000;93;93;90;90;556;0
Кубанэнр;60;20170131;120000;90.8;91.8;90.8;91.8;9;0
Кубанэнр;60;20170131;130000;91;91.4;90;91.4;117;0
Кубанэнр;60;20170131;140000;90.8;90.8;90.8;90.8;1;0
Кубанэнр;60;20170131;150000;90.1;91.4;90;91.4;64;0
Кубанэнр;60;20170131;160000;90.2;91;90;90.1;115;0
Кубанэнр;60;20170131;170000;90.3;90.3;90;90;13;0
Кубанэнр;60;20170131;180000;90.8;91.8;89.7;91.8;81;0
Кубанэнр;60;20170201;100000;91.7;93.4;91.7;93.4;22;0
Кубанэнр;60;20170201;120000;92.4;92.4;92.4;92.4;3;0
Кубанэнр;60;20170201;130000;93.2;93.3;93.1;93.1;19;0
Кубанэнр;60;20170201;140000;93.3;93.5;93.3;93.5;24;0
Кубанэнр;60;20170201;150000;93.5;93.8;93;93.6;105;0
Кубанэнр;60;20170201;160000;93;93;93;93;1;0
Кубанэнр;60;20170201;180000;93.3;93.5;93.3;93.5;7;0
Кубанэнр;60;20170202;100000;94;94;94;94;1;0
Кубанэнр;60;20170202;110000;93.9;94;92.6;93.8;336;0
Кубанэнр;60;20170202;120000;93;93.4;92;93.4;45;0
Кубанэнр;60;20170202;130000;93.3;95;93.3;94;70;0
Кубанэнр;60;20170202;140000;93;93;90.1;90.1;757;0
Кубанэнр;60;20170202;150000;90.4;92;90;90;274;0
Кубанэнр;60;20170202;160000;90.8;91;90.8;91;8;0
Кубанэнр;60;20170202;170000;90.2;91.5;89;90.4;272;0
Кубанэнр;60;20170202;180000;90.3;91.4;90;90;45;0
Кубанэнр;60;20170203;100000;91;91;91;91;1;0
Кубанэнр;60;20170203;110000;90;90.4;88.8;89.9;234;0
Кубанэнр;60;20170203;120000;89.8;90.9;89.8;90.9;108;0
Кубанэнр;60;20170203;170000;90.1;91;90;91;362;0
Кубанэнр;60;20170203;180000;90.1;91;89.9;91;202;0
Кубанэнр;60;20170206;110000;91.2;91.7;91.2;91.7;30;0
Кубанэнр;60;20170206;120000;91.7;91.8;91.7;91.7;51;0
Кубанэнр;60;20170206;140000;91.7;91.7;91.7;91.7;1;0
Кубанэнр;60;20170206;160000;91.7;91.9;91.7;91.8;53;0
Кубанэнр;60;20170207;100000;91.5;92.3;91.5;91.5;37;0
Кубанэнр;60;20170207;110000;92.2;92.2;92;92;6;0
Кубанэнр;60;20170207;120000;92.1;92.1;92.1;92.1;4;0
Кубанэнр;60;20170207;130000;92.1;94;92.1;94;124;0
Кубанэнр;60;20170207;140000;93;93;93;93;100;0
Кубанэнр;60;20170207;150000;94.1;95;94.1;95;120;0
Кубанэнр;60;20170207;170000;93.3;93.3;93.3;93.3;1;0
Кубанэнр;60;20170207;180000;93.3;93.5;91.4;93.5;1557;0
Кубанэнр;60;20170208;100000;93.9;95;93.9;94.1;1478;0
Кубанэнр;60;20170208;110000;94.7;100.2;94.7;98;322;0
Кубанэнр;60;20170208;120000;98;98;93.2;96.8;233;0
Кубанэнр;60;20170208;130000;95.5;96.8;95;96.7;57;0
Кубанэнр;60;20170208;140000;96.2;96.8;95;95;10;0
Кубанэнр;60;20170208;150000;96.8;96.9;95.1;96.9;30;0
Кубанэнр;60;20170208;160000;96.5;96.5;94.1;94.1;14;0
Кубанэнр;60;20170208;170000;96.6;96.6;94;94;12;0
Кубанэнр;60;20170208;180000;94;95;94;95;44;0
Кубанэнр;60;20170209;100000;96;97.7;96;97.1;15;0
Кубанэнр;60;20170209;110000;97.6;98.5;97.6;98.5;58;0
Кубанэнр;60;20170209;120000;98.4;98.5;95.2;96.9;124;0
Кубанэнр;60;20170209;160000;95.1;95.8;94.2;95.8;10;0
Кубанэнр;60;20170209;180000;94.3;95.8;94.3;95.8;2;0
Кубанэнр;60;20170210;100000;95.4;95.4;94.7;94.7;59;0
Кубанэнр;60;20170210;110000;95.2;95.2;95.2;95.2;1;0
Кубанэнр;60;20170210;120000;95.2;95.2;95.2;95.2;2;0
Кубанэнр;60;20170210;130000;94.7;95.5;94.7;95.5;47;0
Кубанэнр;60;20170210;150000;96.2;96.2;96;96;30;0
Кубанэнр;60;20170210;160000;96;96.3;95.6;95.7;19;0
Кубанэнр;60;20170210;170000;96.3;96.6;94.7;96.6;564;0
Кубанэнр;60;20170210;180000;96.5;97.6;96.5;97.6;16;0
Кубанэнр;60;20170213;100000;97.6;97.6;97.6;97.6;11;0
Кубанэнр;60;20170213;110000;97;97;97;97;12;0
Кубанэнр;60;20170213;130000;96.2;97;96.2;97;3;0
Кубанэнр;60;20170213;170000;96.2;97;95.9;96.9;31;0
Кубанэнр;60;20170213;180000;95.9;96.3;93.4;96;1652;0
Кубанэнр;60;20170214;100000;94.1;97;94.1;97;1430;0
Кубанэнр;60;20170214;120000;95.1;96.9;95.1;96.9;11;0
Кубанэнр;60;20170214;160000;95.1;96;95;96;14;0
Кубанэнр;60;20170214;170000;96.8;96.8;96.7;96.7;31;0
Кубанэнр;60;20170214;180000;96.8;96.8;96.8;96.8;4;0
Кубанэнр;60;20170215;100000;97.9;97.9;97;97;93;0
Кубанэнр;60;20170215;110000;96.5;97;94.5;97;134;0
Кубанэнр;60;20170215;120000;95.3;96.9;94.2;96.8;95;0
Кубанэнр;60;20170215;130000;96.9;97;96.8;96.8;51;0
Кубанэнр;60;20170216;110000;94.8;96.7;94.6;96.4;22;0
Кубанэнр;60;20170216;120000;95.9;96;95.8;96;950;0
Кубанэнр;60;20170216;130000;95.1;95.2;94.6;94.6;20;0
Кубанэнр;60;20170216;140000;95.9;95.9;95.9;95.9;1;0
Кубанэнр;60;20170216;160000;95.8;95.8;95.8;95.8;1;0
Кубанэнр;60;20170216;170000;95.6;95.6;95.5;95.5;4;0
Кубанэнр;60;20170216;180000;95.4;96.4;93.2;96.4;2140;0
Кубанэнр;60;20170217;100000;96.4;96.4;95.3;95.3;2111;0
Кубанэнр;60;20170217;110000;95.1;96.4;94.8;96.4;42;0
Кубанэнр;60;20170217;120000;96.5;96.5;95.9;96;351;0
Кубанэнр;60;20170217;150000;95.9;96;95.9;96;79;0
Кубанэнр;60;20170217;160000;96;96;96;96;521;0
Кубанэнр;60;20170217;180000;95.9;96;95.9;96;353;0
Кубанэнр;60;20170220;100000;96.4;96.4;96.4;96.4;55;0
Кубанэнр;60;20170220;110000;95.4;96.4;95.4;96.4;201;0
Кубанэнр;60;20170220;120000;95.2;96.2;95.2;96.2;6;0
Кубанэнр;60;20170220;130000;94.1;96.2;94.1;96.2;16;0
Кубанэнр;60;20170220;150000;96.2;96.3;96.2;96.2;91;0
Кубанэнр;60;20170220;160000;96.3;96.3;96.3;96.3;12;0
Кубанэнр;60;20170220;180000;95.2;96.2;95;96.2;16;0
Кубанэнр;60;20170221;090000;96.8;96.8;96.8;96.8;11;0
Кубанэнр;60;20170221;100000;96.8;96.8;96;96;8;0
Кубанэнр;60;20170221;110000;95.9;96;95.9;96;2;0
Кубанэнр;60;20170221;140000;95.8;95.8;95.8;95.8;1;0
Кубанэнр;60;20170221;150000;95.8;95.8;95.8;95.8;9;0
Кубанэнр;60;20170221;160000;95.8;96;95.8;96;150;0
Кубанэнр;60;20170221;180000;96.6;96.9;96.6;96.9;6;0
Кубанэнр;60;20170222;100000;96.4;96.4;96.3;96.3;22;0
Кубанэнр;60;20170222;150000;95.1;95.9;95.1;95.9;8;0
Кубанэнр;60;20170222;160000;95.1;95.9;94.1;95.9;14;0
Кубанэнр;60;20170224;100000;94;94;93.1;93.1;5;0
Кубанэнр;60;20170224;110000;93.1;93.1;93.1;93.1;8;0
Кубанэнр;60;20170224;120000;93.1;93.1;93.1;93.1;6;0
Кубанэнр;60;20170224;130000;93;94.2;93;94.2;2;0
Кубанэнр;60;20170224;160000;92.5;93.7;90.8;93.5;32;0
Кубанэнр;60;20170224;170000;93.6;93.6;93.6;93.6;1;0
Кубанэнр;60;20170224;180000;92;93.2;91.8;93.2;3;0
Кубанэнр;60;20170227;090000;93.9;93.9;93.9;93.9;20;0
Кубанэнр;60;20170227;100000;93.9;94.1;90.1;93;267;0
Кубанэнр;60;20170227;110000;90.3;93.8;90;93.8;18;0
Кубанэнр;60;20170227;120000;90.1;93.2;90.1;93.1;75;0
Кубанэнр;60;20170227;130000;93.2;93.6;93.2;93.6;10;0
Кубанэнр;60;20170227;150000;91.6;93.5;91.3;93.5;119;0
Кубанэнр;60;20170227;170000;91.4;92.7;90;92.7;201;0
Кубанэнр;60;20170227;180000;90.2;93;90.2;92.6;15;0
Кубанэнр;60;20170228;100000;92.2;93;91.8;93;26;0
Кубанэнр;60;20170228;110000;92.6;92.6;90.8;92.3;65;0
Кубанэнр;60;20170228;120000;91;91.7;90.3;91.7;416;0
Кубанэнр;60;20170228;150000;91.9;92;91.9;92;50;0
Кубанэнр;60;20170228;160000;91;91;89;89.9;197;0
Кубанэнр;60;20170228;170000;89.8;89.8;89.8;89.8;3;0
Кубанэнр;60;20170228;180000;89;89;80.2;85.9;204;0
Кубанэнр;60;20170301;100000;86.9;90;86.9;90;224;0
Кубанэнр;60;20170301;110000;87.1;90;87.1;90;6;0
Кубанэнр;60;20170301;120000;89;90;89;90;111;0
Кубанэнр;60;20170301;140000;90;90;90;90;87;0
Кубанэнр;60;20170301;160000;90;90.9;90;90.9;18;0
Кубанэнр;60;20170301;180000;90.9;92.1;90.9;91;61;0
Кубанэнр;60;20170302;100000;92.9;94;92.9;94;28;0
Кубанэнр;60;20170302;110000;93.9;94;93;93;6;0
Кубанэнр;60;20170302;140000;92.8;92.9;92;92.9;8;0
Кубанэнр;60;20170302;150000;92.9;93;92.9;93;305;0
Кубанэнр;60;20170302;160000;93;93;93;93;1;0
Кубанэнр;60;20170302;170000;93;93;93;93;604;0
Кубанэнр;60;20170302;180000;93.6;94.7;92.1;94.6;100;0
Кубанэнр;60;20170303;100000;94.1;94.7;92.8;94.4;59;0
Кубанэнр;60;20170303;150000;93.8;95;93.8;95;550;0
Кубанэнр;60;20170303;160000;94.3;94.3;94;94;454;0
Кубанэнр;60;20170303;180000;95.3;95.3;95.3;95.3;1;0
Кубанэнр;60;20170306;100000;94.9;95.7;94;95.7;63;0
Кубанэнр;60;20170306;110000;95.7;95.8;95.7;95.8;15;0
Кубанэнр;60;20170306;120000;95;95;95;95;3;0
Кубанэнр;60;20170306;170000;94.1;94.1;94.1;94.1;2;0
Кубанэнр;60;20170306;180000;93.6;94.1;91;93.5;375;0
Кубанэнр;60;20170307;100000;94;94;94;94;1;0
Кубанэнр;60;20170307;110000;93.1;93.9;93;93.9;16;0
Кубанэнр;60;20170307;120000;92.1;92.1;89;91;238;0
Кубанэнр;60;20170307;140000;89.8;89.8;89.8;89.8;1;0
Кубанэнр;60;20170307;150000;88.8;89.7;87;89.7;94;0
Кубанэнр;60;20170307;160000;89.6;89.7;88;89.7;11;0
Кубанэнр;60;20170307;170000;88;89.7;88;89.7;4;0
Кубанэнр;60;20170307;180000;89.3;89.3;89.3;89.3;1;0
Кубанэнр;60;20170309;100000;88.1;89.9;87.2;89.9;17;0
Кубанэнр;60;20170309;120000;89;89.8;89;89.8;18;0
Кубанэнр;60;20170309;130000;89;89;86.1;86.1;40;0
Кубанэнр;60;20170309;140000;88;89.7;88;89.7;5;0
Кубанэнр;60;20170309;150000;89.7;91;89.7;89.9;102;0
Кубанэнр;60;20170309;160000;89;89.8;89;89.8;3;0
Кубанэнр;60;20170309;170000;89.8;89.8;88.2;88.2;16;0
Кубанэнр;60;20170309;180000;89.5;89.9;88;89.9;16;0
Кубанэнр;60;20170310;090000;91.4;91.4;91.4;91.4;2;0
Кубанэнр;60;20170310;100000;91;91.4;91;91.3;40;0
Кубанэнр;60;20170310;110000;91.4;91.8;91.4;91.8;30;0
Кубанэнр;60;20170310;160000;91;92;89.1;92;22;0
Кубанэнр;60;20170310;170000;91.1;91.1;91.1;91.1;2;0
Кубанэнр;60;20170310;180000;91;91;91;91;1;0
Кубанэнр;60;20170313;100000;90.6;92;90;92;60;0
Кубанэнр;60;20170313;150000;91.9;92;91.9;92;56;0
Кубанэнр;60;20170313;170000;91;91;89.9;89.9;184;0
Кубанэнр;60;20170313;180000;90;90;90;90;1;0
Кубанэнр;60;20170314;100000;89.7;89.7;89.7;89.7;1;0
Кубанэнр;60;20170314;110000;90.3;90.4;90.3;90.3;14;0
Кубанэнр;60;20170314;140000;89.6;89.6;89;89;94;0
Кубанэнр;60;20170314;150000;89.9;90;89;90;58;0
Кубанэнр;60;20170314;180000;89;89;88;88;20;0
Кубанэнр;60;20170315;100000;88.5;92.1;88.5;92.1;248;0
Кубанэнр;60;20170315;130000;91.1;92.2;90;92.2;67;0
Кубанэнр;60;20170315;150000;90;90;89.1;89.1;72;0
Кубанэнр;60;20170315;180000;89.2;90;89.2;90;34;0
Кубанэнр;60;20170316;100000;90;97.4;90;93.6;1610;0
Кубанэнр;60;20170316;110000;93.4;93.4;93.4;93.4;5;0
Кубанэнр;60;20170316;160000;93.1;93.1;93.1;93.1;2001;0
Кубанэнр;60;20170316;170000;93;93.1;92;93.1;26;0
Кубанэнр;60;20170317;100000;93;96.6;93;94.8;20;0
Кубанэнр;60;20170317;110000;94.6;94.7;94.6;94.7;66;0
Кубанэнр;60;20170317;140000;94.8;95;94.8;95;27;0
Кубанэнр;60;20170317;170000;94;94;92.2;92.2;10;0
Кубанэнр;60;20170317;180000;93.8;93.8;93.8;93.8;1;0
Кубанэнр;60;20170320;100000;94;94.3;93.2;94.3;31;0
Кубанэнр;60;20170320;120000;93.3;94;93;94;25;0
Кубанэнр;60;20170320;180000;93;93.9;89.5;93.7;2045;0
Кубанэнр;60;20170321;100000;92.9;94.1;92.9;94.1;1002;0
Кубанэнр;60;20170321;130000;93.9;93.9;93.9;93.9;750;0
Кубанэнр;60;20170321;140000;93.1;93.9;91.9;93.9;22;0
Кубанэнр;60;20170321;160000;92.7;93.9;92.7;93.9;165;0
Кубанэнр;60;20170321;170000;93.9;93.9;91.2;91.2;15;0
Кубанэнр;60;20170321;180000;92.9;92.9;92.9;92.9;1;0
Кубанэнр;60;20170322;130000;92.8;93;92.8;93;50;0
Кубанэнр;60;20170322;150000;92.2;92.2;92.2;92.2;3;0
Кубанэнр;60;20170322;160000;92.1;92.1;92;92;3;0
Кубанэнр;60;20170322;180000;92.2;92.2;92.2;92.2;2;0
Кубанэнр;60;20170323;100000;92.6;93.1;92.6;93.1;41;0
Кубанэнр;60;20170323;120000;93;93;93;93;14;0
Кубанэнр;60;20170323;140000;93;93;93;93;7;0
Кубанэнр;60;20170323;150000;92.2;92.2;92.2;92.2;8;0
Кубанэнр;60;20170323;160000;92.1;92.1;92.1;92.1;1;0
Кубанэнр;60;20170323;170000;92;92;92;92;1;0
Кубанэнр;60;20170324;110000;91.6;91.6;91.6;91.6;4;0
Кубанэнр;60;20170324;120000;91.6;91.6;91.4;91.4;18;0
Кубанэнр;60;20170324;130000;91.5;91.5;91.1;91.1;22;0
Кубанэнр;60;20170324;150000;89.5;91.7;88.7;91.7;11;0
Кубанэнр;60;20170324;160000;91.5;91.5;91.5;91.5;1;0
Кубанэнр;60;20170324;170000;91.6;91.6;90.1;90.1;2;0
Кубанэнр;60;20170324;180000;91.6;91.6;91.6;91.6;1;0
Кубанэнр;60;20170327;170000;91.8;91.8;91.8;91.8;1;0
Кубанэнр;60;20170328;100000;89.4;89.6;75.7;88.4;666;0
Кубанэнр;60;20170328;110000;87.1;90.8;86.5;90.8;405;0
Кубанэнр;60;20170328;150000;88;90.2;88;90.2;2;0
Кубанэнр;60;20170328;160000;89.2;89.2;89.2;89.2;1;0
